,日期,成交量,持仓量,结算价,kaipan,zuigao,zuidi,shoupan,shijian,2_junxian,16_junxian,8_junxian,32_junxian,64_junxian,256_junxian,128_junxian,512_junxian,1024_junxian,0_dif,0_dea,0_macd,1_dif,1_dea,1_macd
0,20130819,14606.0,71148.0,19825.0,19860.0,19860.0,19785.0,19825.0,8,,,,,,,,,,,,,,,
1,20130820,17732.0,69630.0,19830.0,19815.0,19860.0,19800.0,19830.0,8,19827.5,,,,,,,,,,,,,,
2,20130821,33354.0,65348.0,19760.0,19705.0,19790.0,19705.0,19770.0,8,19800.0,,,,,,,,,,,,,,
3,20130822,22992.0,65964.0,19745.0,19720.0,19775.0,19710.0,19755.0,8,19762.5,,,,,,,,,,,,,,
4,20130823,7186.0,64316.0,19765.0,19750.0,19780.0,19750.0,19780.0,8,19767.5,,,,,,,,,,,,,,
5,20130826,53310.0,62792.0,19910.0,19760.0,20510.0,19760.0,19940.0,8,19860.0,,,,,,,,,,,,,,
6,20130827,18362.0,65198.0,19900.0,19840.0,19940.0,19825.0,19900.0,8,19920.0,,,,,,,,,,,,,,
7,20130828,19088.0,62446.0,19910.0,19960.0,19960.0,19865.0,19890.0,8,19895.0,,19836.25,,,,,,,,,,,,
8,20130829,15224.0,59840.0,19890.0,19915.0,19930.0,19840.0,19855.0,8,19872.5,,19840.0,,,,,,,,,,,,
9,20130830,7130.0,58294.0,19865.0,19840.0,19890.0,19835.0,19860.0,8,19857.5,,19843.75,,,,,,,,,,,,
10,20130902,5500.0,57792.0,19865.0,19860.0,19880.0,19850.0,19870.0,8,19865.0,,19856.25,,,,,,,,,,,,
11,20130903,10182.0,56300.0,19865.0,19870.0,19905.0,19855.0,19895.0,8,19882.5,,19873.75,,,,,,,,,,,,
12,20130904,29042.0,60486.0,19865.0,19865.0,19885.0,19685.0,19700.0,8,19797.5,,19863.75,,,,,,,,,,,,
13,20130905,26386.0,60190.0,19865.0,19700.0,19730.0,19620.0,19655.0,8,19677.5,,19828.125,,,,,,,,,,,,
