,日期,成交量,持仓量,结算价,kaipan,zuigao,zuidi,shoupan,shijian,2_junxian,8_junxian,64_junxian,16_junxian,32_junxian,128_junxian,256_junxian,1024_junxian,512_junxian,0_dif,0_dea,0_macd,1_dif,1_dea,1_macd
0,20130819,55596.0,394286.0,2324.0,2326.0,2329.0,2321.0,2324.0,8,,,,,,,,,,,,,,,
1,20130820,53372.0,389252.0,2321.0,2330.0,2331.0,2315.0,2320.0,8,2322.0,,,,,,,,,,,,,,
2,20130821,35098.0,384664.0,2321.0,2316.0,2325.0,2316.0,2324.0,8,2322.0,,,,,,,,,,,,,,
3,20130822,49900.0,372898.0,2326.0,2322.0,2330.0,2322.0,2328.0,8,2326.0,,,,,,,,,,,,,,
4,20130823,60728.0,366904.0,2326.0,2327.0,2331.0,2322.0,2328.0,8,2328.0,,,,,,,,,,,,,,
5,20130826,157832.0,347924.0,2340.0,2335.0,2347.0,2334.0,2343.0,8,2335.5,,,,,,,,,,,,,,
6,20130827,56498.0,339724.0,2340.0,2347.0,2349.0,2335.0,2337.0,8,2340.0,,,,,,,,,,,,,,
7,20130828,53902.0,328674.0,2334.0,2336.0,2339.0,2327.0,2327.0,8,2332.0,2328.875,,,,,,,,,,,,,
8,20130829,56568.0,322256.0,2322.0,2326.0,2328.0,2320.0,2322.0,8,2324.5,2328.625,,,,,,,,,,,,,
9,20130830,37068.0,323178.0,2319.0,2322.0,2324.0,2316.0,2320.0,8,2321.0,2328.625,,,,,,,,,,,,,
10,20130902,60530.0,329922.0,2326.0,2321.0,2331.0,2319.0,2329.0,8,2324.5,2329.25,,,,,,,,,,,,,
11,20130903,63562.0,328488.0,2326.0,2329.0,2334.0,2324.0,2333.0,8,2331.0,2329.875,,,,,,,,,,,,,
12,20130904,34864.0,329896.0,2326.0,2326.0,2328.0,2323.0,2324.0,8,2328.5,2329.375,,,,,,,,,,,,,
13,20130905,33960.0,330516.0,2326.0,2323.0,2324.0,2320.0,2322.0,8,2323.0,2326.75,,,,,,,,,,,,,
14,20130906,24348.0,328462.0,2326.0,2323.0,2325.0,2319.0,2323.0,8,2322.5,2325.0,,,,,,,,,,,,,
15,20130909,30048.0,328178.0,2326.0,2320.0,2327.0,2320.0,2322.0,8,2322.5,2324.375,,2326.625,,,,,,,,,,,
16,20130910,76824.0,328796.0,2326.0,2322.0,2325.0,2305.0,2314.0,8,2318.0,2323.375,,2326.0,,,,,,,,,,,
17,20130911,35780.0,325314.0,2326.0,2316.0,2324.0,2311.0,2323.0,8,2318.5,2323.75,,2326.1875,,,,,,,,,,,
18,20130912,18766.0,324912.0,2323.0,2325.0,2326.0,2320.0,2322.0,8,2322.5,2322.875,,2326.0625,,,,,,,,,,,
19,20130913,53082.0,339262.0,2323.0,2323.0,2326.0,2317.0,2326.0,8,2324.0,2322.0,,2325.9375,,,,,,,,,,,
20,20130916,165158.0,334910.0,2329.0,2325.0,2342.0,2320.0,2325.0,8,2325.5,2322.125,,2325.75,,,,,,,,,,,
21,20130917,31998.0,331266.0,2330.0,2324.0,2336.0,2324.0,2333.0,8,2329.0,2323.5,,2325.125,,,,,,,,,,,
22,20130918,82324.0,333928.0,2335.0,2332.0,2343.0,2329.0,2335.0,8,2334.0,2325.0,,2325.0,,,,,,,,,,,
23,20130923,30422.0,331254.0,2337.0,2332.0,2340.0,2331.0,2338.0,8,2336.5,2327.0,,2325.6875,,,,,,,,,,,
24,20130924,28998.0,320568.0,2336.0,2339.0,2341.0,2332.0,2333.0,8,2335.5,2329.375,,2326.375,,,,,,,,,,,
25,20130925,23588.0,316100.0,2329.0,2332.0,2332.0,2327.0,2327.0,8,2330.0,2329.875,,2326.8125,,,,,,1.63919,,,,,
26,20130926,22776.0,311974.0,2329.0,2331.0,2331.0,2327.0,2328.0,8,2327.5,2330.625,,2326.75,,,,,,1.44942,,,,,
27,20130927,50058.0,297108.0,2323.0,2328.0,2329.0,2321.0,2322.0,8,2325.0,2330.125,,2326.0625,,,,,,0.8056,,,,,
28,20130930,51298.0,296292.0,2315.0,2320.0,2320.0,2312.0,2318.0,8,2320.0,2329.25,,2325.6875,,,,,,-0.02709,,,,,
29,20131008,23412.0,295200.0,2322.0,2318.0,2325.0,2316.0,2323.0,8,2320.5,2328.0,,2325.75,,,,,,-0.28031,,,,,
30,20131009,22294.0,297058.0,2325.0,2324.0,2330.0,2321.0,2329.0,8,2326.0,2327.25,,2326.125,,,,,,0.00312,,,,,
