,日期,成交量,持仓量,结算价,kaipan,zuigao,zuidi,shoupan,shijian,2_junxian,8_junxian,16_junxian,64_junxian,32_junxian,128_junxian,256_junxian,512_junxian,1024_junxian,1_dif,1_dea,1_macd,0_dif,0_dea,0_macd
0,20130819,1564420.0,681390.0,1441.0,1420.0,1453.0,1418.0,1444.0,8,,,,,,,,,,,,,,,
1,20130820,1443650.0,609384.0,1434.0,1447.0,1451.0,1417.0,1420.0,8,1432.0,,,,,,,,,,,,,,
2,20130821,934324.0,606930.0,1420.0,1425.0,1429.0,1411.0,1418.0,8,1419.0,,,,,,,,,,,,,,
3,20130822,727186.0,619278.0,1419.0,1415.0,1426.0,1413.0,1415.0,8,1416.5,,,,,,,,,,,,,,
4,20130823,1077494.0,613176.0,1415.0,1415.0,1425.0,1401.0,1417.0,8,1416.0,,,,,,,,,,,,,,
5,20130826,1884780.0,785428.0,1434.0,1431.0,1442.0,1426.0,1435.0,8,1426.0,,,,,,,,,,,,,,
6,20130827,938036.0,793846.0,1433.0,1434.0,1439.0,1427.0,1435.0,8,1435.0,,,,,,,,,,,,,,
7,20130828,2408890.0,769568.0,1435.0,1438.0,1455.0,1399.0,1404.0,8,1419.5,1423.5,,,,,,,,,,,,,
8,20130829,1763110.0,715398.0,1394.0,1405.0,1409.0,1377.0,1381.0,8,1392.5,1415.625,,,,,,,,,,,,,
9,20130830,1035808.0,695016.0,1379.0,1378.0,1386.0,1370.0,1373.0,8,1377.0,1409.75,,,,,,,,,,,,,
10,20130902,1203654.0,783392.0,1380.0,1378.0,1386.0,1371.0,1382.0,8,1377.5,1405.25,,,,,,,,,,,,,
11,20130903,1374094.0,828956.0,1380.0,1386.0,1392.0,1366.0,1374.0,8,1378.0,1400.125,,,,,,,,,,,,,
12,20130904,860570.0,860608.0,1380.0,1377.0,1382.0,1361.0,1365.0,8,1369.5,1393.625,,,,,,,,,,,,,
13,20130905,763234.0,857020.0,1380.0,1363.0,1373.0,1360.0,1362.0,8,1363.5,1384.5,,,,,,,,,,,,,
14,20130906,901248.0,779814.0,1380.0,1365.0,1376.0,1354.0,1368.0,8,1365.0,1376.125,,,,,,,,,,,,,
15,20130909,705674.0,774114.0,1380.0,1381.0,1382.0,1371.0,1376.0,8,1372.0,1372.625,1398.0625,,,,,,,,,,,,
16,20130910,506218.0,765718.0,1380.0,1372.0,1375.0,1365.0,1373.0,8,1374.5,1371.625,1393.625,,,,,,,,,,,,
17,20130911,987038.0,792378.0,1380.0,1376.0,1388.0,1372.0,1379.0,8,1376.0,1372.375,1391.0625,,,,,,,,,,,,
18,20130912,729340.0,768134.0,1375.0,1381.0,1382.0,1368.0,1370.0,8,1374.5,1370.875,1388.0625,,,,,,,,,,,,
19,20130913,680272.0,738418.0,1373.0,1372.0,1380.0,1366.0,1369.0,8,1369.5,1370.25,1385.1875,,,,,,,,,,,,
20,20130916,892206.0,762046.0,1371.0,1370.0,1380.0,1360.0,1361.0,8,1365.0,1369.75,1381.6875,,,,,,,,,,,,
21,20130917,1535236.0,815408.0,1348.0,1358.0,1360.0,1335.0,1344.0,8,1352.5,1367.5,1376.0,,,,,,,,,,,,
22,20130918,978022.0,815112.0,1340.0,1342.0,1347.0,1334.0,1336.0,8,1340.0,1363.5,1369.8125,,,,,,,,,,,,
23,20130923,776032.0,808392.0,1339.0,1333.0,1346.0,1322.0,1343.0,8,1339.5,1359.375,1366.0,,,,,,,,,,,,
24,20130924,686020.0,828400.0,1342.0,1342.0,1349.0,1335.0,1338.0,8,1340.5,1355.0,1363.3125,,,,,,,,,,,,
25,20130925,632544.0,823236.0,1338.0,1336.0,1344.0,1332.0,1334.0,8,1336.0,1349.375,1360.875,,,,,,,,,,-21.51458,,
26,20130926,1007496.0,785748.0,1330.0,1336.0,1339.0,1319.0,1330.0,8,1332.0,1344.375,1357.625,,,,,,,,,,-21.91369,,
27,20130927,679772.0,730306.0,1322.0,1329.0,1333.0,1310.0,1311.0,8,1320.5,1337.125,1353.6875,,,,,,,,,,-23.49233,,
28,20130930,640224.0,680604.0,1309.0,1307.0,1318.0,1301.0,1302.0,8,1306.5,1329.75,1349.75,,,,,,,,,,-25.17938,,
29,20131008,491974.0,692660.0,1305.0,1300.0,1312.0,1296.0,1310.0,8,1306.0,1325.5,1346.5,,,,,,,,,,-25.57602,,
30,20131009,700860.0,727906.0,1320.0,1310.0,1326.0,1310.0,1320.0,8,1315.0,1323.5,1343.5,,,,,,,,,,-24.7976,,
31,20131010,444976.0,716402.0,1320.0,1319.0,1326.0,1316.0,1318.0,8,1319.0,1320.375,1339.875,,1368.96875,,,,,,,,-24.06467,,
32,20131011,466860.0,713022.0,1322.0,1320.0,1328.0,1317.0,1320.0,8,1319.0,1318.125,1336.5625,,1365.09375,,,,,,,,-23.05665,,
33,20131014,436100.0,737330.0,1314.0,1319.0,1321.0,1310.0,1317.0,8,1318.5,1316.0,1332.6875,,1361.875,,,,,,,,-22.24346,-23.263,2.03908
34,20131015,821574.0,685626.0,1326.0,1317.0,1334.0,1317.0,1324.0,8,1320.5,1315.25,1329.8125,,1358.9375,,,,,,,,-20.79445,-22.76929,3.94968
35,20131016,498928.0,687940.0,1321.0,1324.0,1329.0,1312.0,1316.0,8,1320.0,1315.875,1326.5,,1355.84375,,,,,,,,-20.06039,-22.22751,4.33424
36,20131017,504104.0,687624.0,1315.0,1318.0,1324.0,1305.0,1308.0,8,1312.0,1316.625,1323.1875,,1352.4375,,,,,,,,-19.89484,-21.76098,3.73227
37,20131018,322860.0,682174.0,1308.0,1308.0,1314.0,1303.0,1304.0,8,1306.0,1315.875,1320.6875,,1348.34375,,,,,,,,-19.8575,-21.38028,3.04556
38,20131021,400336.0,607772.0,1315.0,1304.0,1324.0,1304.0,1323.0,8,1313.5,1316.25,1319.875,,1344.84375,,,,,,,,-18.08628,-20.72148,5.2704
39,20131022,357970.0,570566.0,1320.0,1321.0,1326.0,1315.0,1316.0,8,1319.5,1316.0,1318.1875,,1342.09375,,,,,,,,-17.05087,-19.98736,5.87298
