,日期,成交量,持仓量,结算价,kaipan,zuigao,zuidi,shoupan,shijian,8_junxian,2_junxian,32_junxian,16_junxian,64_junxian,128_junxian,256_junxian,512_junxian,1024_junxian,0_dif,0_dea,0_macd,1_dif,1_dea,1_macd
0,20130819,1892324.0,1552992.0,3814.0,3802.0,3843.0,3785.0,3812.0,8,,,,,,,,,,,,,,,
1,20130820,1517702.0,1548418.0,3811.0,3810.0,3828.0,3792.0,3796.0,8,,3804.0,,,,,,,,,,,,,
2,20130821,1150250.0,1559268.0,3797.0,3796.0,3807.0,3786.0,3789.0,8,,3792.5,,,,,,,,,,,,,
3,20130822,1747080.0,1579348.0,3777.0,3777.0,3799.0,3762.0,3769.0,8,,3779.0,,,,,,,,,,,,,
4,20130823,2136050.0,1553756.0,3803.0,3772.0,3820.0,3771.0,3817.0,8,,3793.0,,,,,,,,,,,,,
5,20130826,2048358.0,1536606.0,3822.0,3827.0,3848.0,3802.0,3813.0,8,,3815.0,,,,,,,,,,,,,
6,20130827,2137384.0,1451724.0,3802.0,3801.0,3830.0,3776.0,3818.0,8,,3815.5,,,,,,,,,,,,,
7,20130828,2350504.0,1388152.0,3806.0,3817.0,3835.0,3765.0,3767.0,8,3797.625,3792.5,,,,,,,,,,,,,
8,20130829,2330452.0,1356098.0,3757.0,3768.0,3790.0,3727.0,3749.0,8,3789.75,3758.0,,,,,,,,,,,,,
9,20130830,1441268.0,1321394.0,3754.0,3733.0,3769.0,3732.0,3753.0,8,3784.375,3751.0,,,,,,,,,,,,,
10,20130902,1452760.0,1261620.0,3782.0,3765.0,3797.0,3763.0,3787.0,8,3784.125,3770.0,,,,,,,,,,,,,
11,20130903,2010496.0,1476768.0,3782.0,3793.0,3799.0,3741.0,3745.0,8,3781.125,3766.0,,,,,,,,,,,,,
12,20130904,1309680.0,1490822.0,3782.0,3744.0,3756.0,3729.0,3737.0,8,3771.125,3741.0,,,,,,,,,,,,,
13,20130905,1201718.0,1429706.0,3782.0,3731.0,3748.0,3723.0,3732.0,8,3761.0,3734.5,,,,,,,,,,,,,
14,20130906,1544364.0,1447746.0,3782.0,3729.0,3733.0,3705.0,3723.0,8,3749.125,3727.5,,,,,,,,,,,,,
15,20130909,1343182.0,1423692.0,3782.0,3732.0,3764.0,3732.0,3752.0,8,3747.25,3737.5,,3772.4375,,,,,,,,,,,
16,20130910,1186452.0,1422682.0,3782.0,3751.0,3755.0,3721.0,3736.0,8,3745.625,3744.0,,3767.6875,,,,,,,,,,,
17,20130911,1304284.0,1514582.0,3782.0,3731.0,3742.0,3716.0,3727.0,8,3742.375,3731.5,,3763.375,,,,,,,,,,,
