,日期,成交量,持仓量,结算价,kaipan,zuigao,zuidi,shoupan,shijian,2_junxian,8_junxian,16_junxian,32_junxian,64_junxian,128_junxian,256_junxian,512_junxian,1024_junxian,0_dif,0_dea,0_macd,1_dif,1_dea,1_macd
0,20130819,405590.0,547240.0,5055.0,5079.0,5080.0,5035.0,5038.0,8,,,,,,,,,,,,,,,
1,20130820,346828.0,563398.0,5016.0,5000.0,5030.0,4995.0,5029.0,8,5033.5,,,,,,,,,,,,,,
2,20130821,367550.0,557224.0,5026.0,5020.0,5050.0,5002.0,5007.0,8,5018.0,,,,,,,,,,,,,,
3,20130822,323768.0,555566.0,4981.0,4980.0,5004.0,4953.0,4955.0,8,4981.0,,,,,,,,,,,,,,
4,20130823,307424.0,563630.0,4950.0,4955.0,4966.0,4930.0,4931.0,8,4943.0,,,,,,,,,,,,,,
5,20130826,787486.0,624626.0,5020.0,4966.0,5044.0,4961.0,5042.0,8,4986.5,,,,,,,,,,,,,,
6,20130827,372566.0,620454.0,5033.0,5044.0,5054.0,5015.0,5025.0,8,5033.5,,,,,,,,,,,,,,
7,20130828,742168.0,613856.0,5053.0,5019.0,5079.0,5012.0,5031.0,8,5028.0,5007.25,,,,,,,,,,,,,
8,20130829,820920.0,615462.0,5045.0,5047.0,5068.0,4990.0,5040.0,8,5035.5,5007.5,,,,,,,,,,,,,
9,20130830,530012.0,603390.0,5010.0,5028.0,5039.0,4986.0,4996.0,8,5018.0,5003.375,,,,,,,,,,,,,
10,20130902,434788.0,649256.0,5000.0,5006.0,5016.0,4986.0,4987.0,8,4991.5,5000.875,,,,,,,,,,,,,
11,20130903,653860.0,699260.0,5000.0,4990.0,5035.0,4983.0,5018.0,8,5002.5,5008.75,,,,,,,,,,,,,
12,20130904,554584.0,693398.0,5000.0,5025.0,5038.0,4995.0,5038.0,8,5028.0,5022.125,,,,,,,,,,,,,
13,20130905,628586.0,703796.0,5000.0,5023.0,5060.0,5015.0,5044.0,8,5041.0,5022.375,,,,,,,,,,,,,
14,20130906,1349220.0,810972.0,5000.0,5063.0,5168.0,5058.0,5167.0,8,5105.5,5040.125,,,,,,,,,,,,,
15,20130909,764510.0,808164.0,5000.0,5164.0,5183.0,5150.0,5169.0,8,5168.0,5057.375,5032.3125,,,,,,,,,,,,
16,20130910,675414.0,763290.0,5000.0,5181.0,5188.0,5134.0,5153.0,8,5161.0,5071.5,5039.5,,,,,,,,,,,,
17,20130911,731746.0,767742.0,5000.0,5182.0,5207.0,5144.0,5151.0,8,5152.0,5090.875,5047.125,,,,,,,,,,,,
18,20130912,535174.0,730154.0,5150.0,5152.0,5169.0,5124.0,5147.0,8,5149.0,5110.875,5055.875,,,,,,,,,,,,
19,20130913,381102.0,727508.0,5150.0,5155.0,5168.0,5135.0,5150.0,8,5148.5,5127.375,5068.0625,,,,,,,,,,,,
20,20130916,1331474.0,686478.0,5139.0,5138.0,5201.0,5077.0,5084.0,8,5117.0,5133.125,5077.625,,,,,,,,,,,,
21,20130917,436730.0,663726.0,5079.0,5085.0,5097.0,5066.0,5073.0,8,5078.5,5136.75,5079.5625,,,,,,,,,,,,
22,20130918,345070.0,627226.0,5061.0,5062.0,5085.0,5049.0,5053.0,8,5063.0,5122.5,5081.3125,,,,,,,,,,,,
23,20130923,349268.0,622952.0,5073.0,5091.0,5093.0,5061.0,5063.0,8,5058.0,5109.25,5083.3125,,,,,,,,,,,,
24,20130924,420890.0,619562.0,5094.0,5083.0,5108.0,5075.0,5095.0,8,5079.0,5102.0,5086.75,,,,,,,,,,,,
25,20130925,395874.0,608064.0,5128.0,5110.0,5139.0,5110.0,5128.0,8,5111.5,5099.125,5095.0,,,,,,,17.22507,,,,,
26,20130926,344462.0,588306.0,5150.0,5157.0,5170.0,5131.0,5137.0,8,5132.5,5097.875,5104.375,,,,,,,19.38465,,,,,
27,20130927,255804.0,559918.0,5110.0,5142.0,5145.0,5088.0,5103.0,8,5120.0,5092.0,5109.6875,,,,,,,18.14346,,,,,
28,20130930,152550.0,543580.0,5082.0,5065.0,5125.0,5058.0,5089.0,8,5096.0,5092.625,5112.875,,,,,,,15.84745,,,,,
29,20131008,218648.0,510940.0,5158.0,5172.0,5175.0,5141.0,5156.0,8,5122.5,5103.0,5119.875,,,,,,,19.21272,,,,,
30,20131009,208006.0,522122.0,5146.0,5157.0,5166.0,5119.0,5142.0,8,5149.0,5114.125,5118.3125,,,,,,,20.51356,,,,,
31,20131010,570630.0,597680.0,5193.0,5137.0,5232.0,5135.0,5231.0,8,5186.5,5135.125,5122.1875,5077.25,,,,,,28.39868,,,,,
32,20131011,378638.0,601030.0,5239.0,5239.0,5252.0,5226.0,5240.0,8,5235.5,5153.25,5127.625,5083.5625,,,,,,34.9708,,,,,
33,20131014,391002.0,555254.0,5226.0,5255.0,5258.0,5210.0,5219.0,8,5229.5,5164.625,5131.875,5089.5,,,,,,38.04616,26.20684,23.67863,,,
34,20131015,406996.0,526310.0,5256.0,5240.0,5280.0,5230.0,5259.0,8,5239.0,5179.875,5138.875,5097.375,,,,,,43.21294,29.60806,27.20975,,,
35,20131016,181198.0,512902.0,5223.0,5225.0,5234.0,5208.0,5224.0,8,5241.5,5195.0,5143.5,5105.78125,,,,,,43.9765,32.48175,22.9895,,,
36,20131017,257656.0,500656.0,5239.0,5260.0,5264.0,5210.0,5219.0,8,5221.5,5211.25,5151.9375,5114.78125,,,,,,43.67472,34.72034,17.90875,,,
37,20131018,266126.0,484288.0,5199.0,5228.0,5230.0,5183.0,5213.0,8,5216.0,5218.375,5160.6875,5120.125,,,,,,42.46193,36.26866,12.38654,,,
38,20131021,395856.0,461994.0,5255.0,5262.0,5278.0,5237.0,5273.0,8,5243.0,5234.75,5174.4375,5127.875,,,,,,45.81417,38.17776,15.27281,,,
