CFL8 郑棉主连 日线 后复权
日期,开盘,最高,最低,收盘,成交量,持仓量,结算价
20130819,19860,19860,19785,19825,14606,71148,19825
20130820,19815,19860,19800,19830,17732,69630,19830
20130821,19705,19790,19705,19770,33354,65348,19760
20130822,19720,19775,19710,19755,22992,65964,19745
20130823,19750,19780,19750,19780,7186,64316,19765
20130826,19760,20510,19760,19940,53310,62792,19910
20130827,19840,19940,19825,19900,18362,65198,19900
20130828,19960,19960,19865,19890,19088,62446,19910
20130829,19915,19930,19840,19855,15224,59840,19890
20130830,19840,19890,19835,19860,7130,58294,19865
20130902,19860,19880,19850,19870,5500,57792,19865
20130903,19870,19905,19855,19895,10182,56300,19865
20130904,19865,19885,19685,19700,29042,60486,19865
20130905,19700,19730,19620,19655,26386,60190,19865
20130906,19630,19695,19630,19640,10166,61470,19865
20130909,19665,19720,19665,19705,10268,61654,19865
20130910,19720,19750,19670,19685,7272,62352,19865
20130911,19695,19710,19660,19670,4934,62408,19865
20130912,19665,19685,19660,19675,1814,61970,19675
20130913,19700,19705,19670,19695,3922,61756,19695
20130916,19690,19745,19675,19740,8972,58810,19700
20130917,19730,19825,19710,19755,11698,57068,19770
20130918,19770,19810,19720,19790,6520,56124,19780
20130923,19735,19800,19730,19800,3334,55926,19775
20130924,19800,19810,19760,19770,6324,51086,19780
20130925,19780,19790,19760,19770,4536,48324,19770
20130926,19780,19785,19765,19780,3568,46602,19775
20130927,19780,19910,19775,19860,8882,41698,19830
20130930,19870,19950,19870,19925,8690,41538,19925
20131008,19875,19940,19820,19935,3982,41900,19890
20131009,19910,20080,19910,20045,8798,43668,19980
20131010,20030,20035,19980,19995,5026,43576,20000
20131011,19995,20025,19970,20000,5268,42052,19995
20131014,18925,18980,18870,18945,7072,46306,18930
20131015,18965,19015,18930,18975,9448,47820,18975
20131016,18975,18990,18940,18955,5120,48190,18970
20131017,18925,18960,18770,18770,16462,43322,18840
20131018,18775,18840,18760,18770,7380,43080,18800
20131021,18750,18790,18690,18760,12068,44068,18730
20131022,18750,18820,18745,18750,10264,43990,18785
20131023,18725,18765,18675,18685,10388,45470,18715
20131024,18650,18650,18570,18610,22226,47022,18605
20131025,18540,18640,18530,18595,8938,46932,18595
20131028,18600,18630,18515,18530,7130,48848,18565
20131029,18500,18575,18480,18525,7526,48788,18530
20131030,18525,18595,18515,18570,6758,49932,18570
