CL8 玉米主连 日线 后复权
日期,开盘,最高,最低,收盘,成交量,持仓量,结算价
20130819,2326,2329,2321,2324,55596,394286,2324
20130820,2330,2331,2315,2320,53372,389252,2321
20130821,2316,2325,2316,2324,35098,384664,2321
20130822,2322,2330,2322,2328,49900,372898,2326
20130823,2327,2331,2322,2328,60728,366904,2326
20130826,2335,2347,2334,2343,157832,347924,2340
20130827,2347,2349,2335,2337,56498,339724,2340
20130828,2336,2339,2327,2327,53902,328674,2334
20130829,2326,2328,2320,2322,56568,322256,2322
20130830,2322,2324,2316,2320,37068,323178,2319
20130902,2321,2331,2319,2329,60530,329922,2326
20130903,2329,2334,2324,2333,63562,328488,2326
20130904,2326,2328,2323,2324,34864,329896,2326
20130905,2323,2324,2320,2322,33960,330516,2326
20130906,2323,2325,2319,2323,24348,328462,2326
20130909,2320,2327,2320,2322,30048,328178,2326
20130910,2322,2325,2305,2314,76824,328796,2326
20130911,2316,2324,2311,2323,35780,325314,2326
20130912,2325,2326,2320,2322,18766,324912,2323
20130913,2323,2326,2317,2326,53082,339262,2323
20130916,2325,2342,2320,2325,165158,334910,2329
20130917,2324,2336,2324,2333,31998,331266,2330
20130918,2332,2343,2329,2335,82324,333928,2335
20130923,2332,2340,2331,2338,30422,331254,2337
20130924,2339,2341,2332,2333,28998,320568,2336
20130925,2332,2332,2327,2327,23588,316100,2329
20130926,2331,2331,2327,2328,22776,311974,2329
20130927,2328,2329,2321,2322,50058,297108,2323
20130930,2320,2320,2312,2318,51298,296292,2315
20131008,2318,2325,2316,2323,23412,295200,2322
20131009,2324,2330,2321,2329,22294,297058,2325
20131010,2328,2337,2328,2334,28486,287318,2333
20131011,2339,2350,2339,2346,76668,292834,2344
20131014,2350,2357,2349,2355,73220,287966,2354
20131015,2358,2358,2345,2345,59866,275838,2350
20131016,2344,2352,2340,2346,35280,282228,2347
20131017,2346,2354,2345,2352,61562,269338,2349
20131018,2352,2353,2343,2344,37402,275450,2345
20131021,2347,2350,2344,2348,28628,280908,2346
20131022,2348,2349,2342,2343,18150,283476,2343
20131023,2343,2346,2341,2343,21230,284300,2343
20131024,2340,2343,2335,2342,62838,280516,2339
20131025,2341,2344,2337,2338,38246,270096,2340
20131028,2337,2338,2317,2319,103764,281310,2326
20131029,2322,2322,2309,2311,98162,303714,2314
20131030,2311,2321,2311,2318,53300,300182,2318
20131031,2318,2324,2313,2323,61330,304086,2320
20131101,2320,2324,2317,2324,47642,307636,2321
20131104,2324,2325,2319,2324,49486,302218,2322
20131105,2322,2341,2322,2340,78740,308714,2333
20131106,2341,2351,2338,2345,97542,301502,2344
20131107,2343,2347,2335,2346,75518,296888,2341
20131108,2346,2351,2338,2349,80702,304974,2345
20131111,2353,2354,2345,2349,52546,310738,2349
20131112,2349,2353,2348,2350,34104,307822,2350
20131113,2349,2356,2346,2352,56468,297026,2352
20131114,2352,2356,2347,2354,67684,295138,2351
20131115,2353,2356,2352,2356,30412,288548,2354
20131118,2353,2354,2348,2350,49600,288644,2350
20131119,2350,2350,2343,2347,69274,306758,2345
20131120,2348,2360,2346,2360,72008,307970,2353
20131121,2360,2369,2358,2369,147126,299620,2365
20131122,2370,2370,2363,2366,48204,287140,2366
20131125,2368,2369,2360,2363,52576,282840,2364
20131126,2365,2366,2362,2363,19480,281426,2364
20131127,2363,2366,2361,2365,29996,282402,2364
20131128,2365,2365,2361,2363,33986,283476,2363
20131129,2363,2365,2360,2361,24146,285114,2362
20131202,2361,2366,2361,2365,33608,274492,2363
20131203,2364,2370,2363,2365,39494,275500,2366
20131204,2368,2368,2362,2366,33822,276056,2365
20131205,2366,2368,2362,2362,23304,275018,2363
20131206,2362,2372,2353,2365,130136,264334,2360
20131209,2366,2366,2360,2362,27396,260388,2361
20131210,2363,2363,2359,2360,14538,259996,2360
20131211,2359,2361,2356,2356,31032,260976,2357
20131212,2355,2359,2351,2352,46358,262376,2354
20131213,2351,2353,2336,2337,88496,269942,2345
20131216,2332,2342,2325,2327,107558,271052,2335
20131217,2329,2338,2327,2337,39902,271354,2334
20131218,2336,2341,2331,2334,46968,278338,2335
20131219,2332,2334,2326,2329,43128,284918,2328
20131220,2330,2349,2330,2345,74478,280132,2338
20131223,2343,2345,2337,2340,54250,288056,2340
20131224,2339,2340,2328,2331,50298,308642,2334
20131225,2334,2338,2319,2335,133288,323994,2327
20131226,2334,2340,2326,2327,61566,339566,2332
20131227,2326,2337,2324,2333,52826,340592,2331
20131230,2335,2343,2334,2342,51844,330918,2338
20131231,2343,2348,2339,2345,49288,328696,2343
20140102,2344,2348,2342,2342,26628,327492,2344
20140103,2341,2344,2332,2333,57262,331632,2336
20140106,2330,2347,2327,2344,67288,335334,2340
20140107,2347,2360,2342,2359,119278,321378,2351
20140108,2358,2367,2357,2364,99184,314804,2363
20140109,2363,2369,2358,2368,81090,315414,2363
20140110,2368,2370,2362,2365,48070,313914,2365
20140113,2370,2379,2363,2366,45946,312322,2367
20140114,2366,2368,2361,2363,47004,314722,2363
20140115,2365,2366,2356,2360,43030,308254,2359
20140116,2359,2365,2355,2357,39480,312188,2358
20140117,2356,2361,2355,2358,21858,311322,2358
20140120,2356,2364,2356,2363,26296,312344,2359
20140121,2361,2364,2356,2358,17070,310066,2359
20140122,2357,2361,2356,2358,25902,313666,2358
20140123,2357,2365,2357,2360,22054,308612,2361
20140124,2360,2361,2357,2358,19486,303258,2358
20140127,2357,2368,2357,2365,30986,300970,2363
20140128,2365,2367,2363,2365,22438,294436,2364
20140129,2364,2366,2363,2365,14716,288696,2364
20140130,2365,2366,2359,2361,15040,282316,2361
20140207,2366,2368,2359,2361,28100,288434,2362
20140210,2360,2361,2336,2337,138304,330392,2345
20140211,2339,2346,2337,2340,60166,341356,2341
20140212,2340,2342,2334,2339,79952,368524,2338
20140213,2338,2347,2336,2344,63642,369656,2342
20140214,2344,2346,2340,2345,31674,372958,2342
20140217,2342,2349,2332,2342,66008,390036,2340
20140218,2341,2345,2340,2342,23766,392458,2342
20140219,2343,2344,2339,2340,19640,395528,2340
20140220,2341,2346,2338,2345,33402,392364,2342
20140221,2346,2348,2344,2347,27982,383448,2346
20140224,2347,2349,2340,2343,40300,384202,2344
20140225,2344,2345,2338,2341,22472,388808,2341
20140226,2340,2344,2337,2343,34422,396696,2340
20140227,2341,2347,2339,2342,22012,400454,2342
20140228,2341,2343,2335,2341,34966,406410,2339
20140303,2342,2358,2342,2357,74290,398654,2352
20140304,2357,2359,2351,2358,34936,400094,2355
20140305,2360,2362,2355,2359,24976,397246,2358
20140306,2358,2359,2352,2354,24720,401094,2353
20140307,2355,2361,2354,2361,27252,395700,2359
20140310,2358,2360,2341,2349,53690,396852,2348
20140311,2345,2354,2343,2353,28628,391378,2347
20140312,2353,2362,2349,2357,56876,397742,2356
20140313,2356,2377,2356,2376,147688,345192,2368
20140314,2377,2386,2373,2381,112026,284128,2380
20140317,2381,2382,2366,2374,47706,277310,2372
20140318,2374,2383,2367,2375,55046,259118,2377
20140319,2376,2379,2371,2373,35194,248630,2373
