FGL8 玻璃主连 日线 后复权
日期,开盘,最高,最低,收盘,成交量,持仓量,结算价
20130819,1420,1453,1418,1444,1564420,681390,1441
20130820,1447,1451,1417,1420,1443650,609384,1434
20130821,1425,1429,1411,1418,934324,606930,1420
20130822,1415,1426,1413,1415,727186,619278,1419
20130823,1415,1425,1401,1417,1077494,613176,1415
20130826,1431,1442,1426,1435,1884780,785428,1434
20130827,1434,1439,1427,1435,938036,793846,1433
20130828,1438,1455,1399,1404,2408890,769568,1435
20130829,1405,1409,1377,1381,1763110,715398,1394
20130830,1378,1386,1370,1373,1035808,695016,1379
20130902,1378,1386,1371,1382,1203654,783392,1380
20130903,1386,1392,1366,1374,1374094,828956,1380
20130904,1377,1382,1361,1365,860570,860608,1380
20130905,1363,1373,1360,1362,763234,857020,1380
20130906,1365,1376,1354,1368,901248,779814,1380
20130909,1381,1382,1371,1376,705674,774114,1380
20130910,1372,1375,1365,1373,506218,765718,1380
20130911,1376,1388,1372,1379,987038,792378,1380
20130912,1381,1382,1368,1370,729340,768134,1375
20130913,1372,1380,1366,1369,680272,738418,1373
20130916,1370,1380,1360,1361,892206,762046,1371
20130917,1358,1360,1335,1344,1535236,815408,1348
20130918,1342,1347,1334,1336,978022,815112,1340
20130923,1333,1346,1322,1343,776032,808392,1339
20130924,1342,1349,1335,1338,686020,828400,1342
20130925,1336,1344,1332,1334,632544,823236,1338
20130926,1336,1339,1319,1330,1007496,785748,1330
20130927,1329,1333,1310,1311,679772,730306,1322
20130930,1307,1318,1301,1302,640224,680604,1309
20131008,1300,1312,1296,1310,491974,692660,1305
20131009,1310,1326,1310,1320,700860,727906,1320
20131010,1319,1326,1316,1318,444976,716402,1320
20131011,1320,1328,1317,1320,466860,713022,1322
20131014,1319,1321,1310,1317,436100,737330,1314
20131015,1317,1334,1317,1324,821574,685626,1326
20131016,1324,1329,1312,1316,498928,687940,1321
20131017,1318,1324,1305,1308,504104,687624,1315
20131018,1308,1314,1303,1304,322860,682174,1308
20131021,1304,1324,1304,1323,400336,607772,1315
20131022,1321,1326,1315,1316,357970,570566,1320
20131023,1318,1322,1305,1309,314434,549200,1312
20131024,1307,1310,1299,1305,240756,540576,1305
20131025,1305,1310,1278,1286,486532,556432,1293
20131028,1286,1300,1285,1296,271542,504370,1293
20131029,1298,1306,1291,1303,238084,462762,1299
20131030,1309,1315,1301,1312,403914,495924,1308
20131031,1312,1329,1308,1327,675412,543988,1320
20131101,1327,1335,1322,1329,695254,544974,1328
20131104,1328,1330,1320,1326,378030,535150,1325
20131105,1328,1332,1321,1329,454304,556926,1328
20131106,1327,1334,1317,1319,610816,572156,1324
20131107,1317,1326,1315,1320,344586,562666,1321
20131108,1319,1324,1311,1312,285372,558754,1319
20131111,1313,1315,1303,1305,364280,583080,1309
20131112,1307,1311,1300,1308,347500,582436,1305
20131113,1306,1309,1303,1305,241714,578192,1306
20131114,1306,1311,1301,1306,289556,577900,1306
20131115,1306,1317,1303,1304,424280,566222,1311
20131118,1303,1307,1292,1296,447350,602202,1297
20131119,1295,1311,1294,1311,406734,563894,1303
20131120,1312,1314,1307,1309,296494,571082,1310
20131121,1307,1308,1301,1303,249758,570478,1304
20131122,1306,1311,1302,1308,262152,547700,1306
20131125,1310,1322,1308,1319,460740,540926,1316
20131126,1317,1326,1317,1321,426376,550820,1322
20131127,1321,1325,1316,1319,253102,549416,1319
20131128,1319,1327,1312,1313,446296,549576,1320
20131129,1315,1318,1312,1317,207072,532464,1315
20131202,1318,1324,1314,1323,248924,537442,1319
20131203,1322,1326,1319,1324,228150,536610,1323
20131204,1326,1329,1320,1320,278268,526860,1324
20131205,1323,1326,1316,1318,231666,504004,1321
20131206,1318,1320,1309,1319,297266,459820,1314
20131209,1320,1325,1316,1319,149006,461666,1321
20131210,1320,1324,1316,1318,155384,460134,1320
20131211,1319,1322,1316,1321,130304,449070,1319
20131212,1322,1363,1322,1353,1299682,583930,1351
20131213,1348,1350,1324,1335,768400,450746,1336
20131216,1337,1340,1322,1327,401192,460364,1330
20131217,1330,1337,1325,1330,471464,464776,1332
20131218,1330,1332,1323,1329,354316,429966,1328
20131219,1332,1337,1327,1328,251974,429002,1332
20131220,1328,1328,1278,1319,594116,317166,1314
20131223,1319,1320,1308,1313,276240,300908,1314
20131224,1310,1316,1309,1313,118902,293650,1313
20131225,1315,1326,1314,1323,187496,273602,1319
20131226,1322,1325,1313,1315,180420,263438,1318
20131227,1310,1320,1308,1316,189222,245940,1315
20131230,1316,1325,1312,1315,185588,249264,1318
20131231,1312,1320,1288,1290,485552,270942,1302
20140102,1291,1293,1278,1281,474004,291530,1285
20140103,1275,1286,1271,1285,256508,266876,1279
20140106,1282,1288,1253,1255,369924,312358,1268
20140107,1254,1255,1225,1238,493404,284906,1237
20140108,1235,1241,1224,1232,295864,281396,1233
20140109,1230,1265,1226,1247,390080,248794,1242
20140110,1244,1251,1237,1251,250594,232790,1244
20140113,1254,1260,1244,1246,181066,235902,1250
20140114,1246,1258,1239,1257,192948,226740,1248
20140115,1256,1263,1252,1259,134548,227678,1257
20140116,1263,1270,1248,1248,213476,233948,1259
20140117,1245,1255,1236,1252,274500,219316,1245
20140120,1254,1261,1245,1249,253266,222192,1252
20140121,1247,1247,1216,1217,384082,265950,1232
20140122,1216,1239,1210,1235,474548,234822,1227
20140123,1230,1265,1228,1264,743264,246212,1249
20140124,1261,1275,1253,1274,491602,224954,1263
20140127,1270,1283,1264,1281,583690,226076,1274
20140128,1279,1284,1267,1276,484416,213244,1275
20140129,1270,1299,1267,1292,524916,200362,1284
20140130,1290,1305,1284,1302,310438,176810,1294
20140207,1307,1310,1272,1281,377676,183388,1285
20140210,1280,1295,1272,1292,317786,204988,1284
20140211,1290,1297,1284,1294,284140,223020,1291
20140212,1296,1317,1293,1311,664878,262924,1305
20140213,1311,1317,1303,1306,441710,255726,1309
20140214,1306,1311,1298,1306,294706,261814,1305
20140217,1308,1324,1301,1315,431148,265696,1314
20140218,1313,1317,1294,1298,500656,288596,1302
20140219,1302,1306,1288,1296,543306,278620,1296
20140220,1292,1302,1285,1290,447706,266982,1292
20140221,1293,1303,1286,1295,510712,272762,1296
20140224,1293,1294,1256,1266,729874,238400,1270
20140225,1267,1276,1259,1260,435298,234284,1267
20140226,1258,1268,1253,1262,316834,235378,1261
20140227,1263,1263,1243,1247,395874,241910,1251
20140228,1248,1255,1243,1247,256984,218894,1249
20140303,1245,1249,1235,1240,266000,224118,1241
20140304,1241,1242,1226,1239,282004,220736,1235
20140305,1243,1260,1242,1252,357234,205512,1252
20140306,1249,1259,1247,1256,213156,207810,1253
20140307,1252,1255,1228,1235,474670,229638,1237
20140310,1225,1233,1187,1191,429560,228340,1204
20140311,1194,1233,1190,1224,510868,189292,1212
20140312,1218,1235,1203,1229,372454,170192,1222
20140313,1227,1232,1223,1227,137922,171074,1227
20140314,1224,1228,1212,1227,190448,162012,1219
20140317,1228,1231,1205,1207,192948,166960,1217
20140318,1253,1286,1251,1275,431272,266308,1272
20140319,1276,1282,1268,1273,250168,274422,1275
20140320,1285,1285,1263,1268,301786,276604,1275
20140321,1266,1276,1262,1265,335954,256374,1269
20140324,1264,1264,1236,1249,347036,282358,1245
20140325,1247,1281,1245,1260,524724,268060,1263
20140326,1263,1265,1231,1234,713212,377362,1245
20140327,1231,1249,1231,1240,585748,316578,1241
20140328,1240,1261,1237,1260,497960,248510,1250
20140331,1263,1270,1258,1262,358888,236726,1264
20140401,1261,1270,1256,1263,244578,241200,1263
20140402,1266,1270,1245,1248,361990,288146,1255
20140403,1246,1257,1244,1255,336034,282090,1251
20140404,1257,1261,1244,1256,487266,314302,1252
20140408,1256,1284,1255,1282,571924,287376,1273
20140409,1283,1287,1268,1272,323470,289042,1278
20140410,1274,1282,1270,1275,411822,291676,1277
20140411,1274,1275,1246,1248,506436,313994,1261
20140414,1249,1262,1247,1255,366280,316420,1256
20140415,1255,1265,1251,1258,341676,307536,1257
20140416,1256,1274,1255,1264,621534,298566,1266
20140417,1266,1268,1257,1262,229262,290778,1263
20140418,1263,1264,1241,1247,420802,293988,1248
20140421,1245,1254,1229,1233,502412,337088,1239
20140422,1232,1233,1189,1224,543394,333824,1218
20140423,1226,1228,1217,1227,347964,313278,1223
20140424,1226,1235,1224,1230,227996,300776,1229
20140425,1234,1235,1225,1226,209000,312404,1229
20140428,1223,1229,1212,1228,317612,333478,1221
20140429,1230,1246,1228,1242,292916,293722,1239
20140430,1242,1245,1222,1226,221456,302236,1233
20140505,1224,1238,1220,1237,157774,289412,1232
20140506,1237,1240,1222,1224,235888,321936,1229
20140507,1224,1224,1209,1209,375490,363002,1215
20140508,1211,1218,1209,1214,247902,369358,1214
20140509,1216,1221,1213,1217,169720,357090,1216
20140512,1218,1224,1214,1219,227770,358514,1219
20140513,1222,1223,1208,1210,230476,370702,1215
20140514,1212,1220,1206,1212,198300,351022,1214
20140515,1213,1213,1198,1199,237470,371518,1205
20140516,1197,1204,1179,1184,329600,376300,1192
20140519,1183,1193,1178,1184,175864,362724,1186
20140520,1182,1183,1143,1158,493806,402268,1158
20140521,1159,1160,1148,1151,289092,377978,1154
20140522,1149,1163,1148,1153,290952,353100,1154
20140523,1152,1160,1144,1149,299062,367384,1153
20140526,1148,1168,1144,1154,393886,381510,1156
20140527,1154,1160,1140,1148,442640,371560,1150
20140528,1144,1156,1143,1149,321308,361554,1150
20140529,1150,1156,1131,1131,321644,368190,1145
20140530,1128,1133,1107,1114,460916,357312,1118
20140603,1113,1118,1092,1093,481226,390824,1103
20140604,1088,1101,1088,1092,370646,394598,1093
20140605,1093,1101,1086,1097,523150,377336,1095
20140606,1099,1103,1091,1096,362550,371158,1096
20140609,1084,1089,1066,1066,704740,471340,1077
