RBL8 螺纹主连 日线 后复权
日期,开盘,最高,最低,收盘,成交量,持仓量,结算价
20130819,3802,3843,3785,3812,1892324,1552992,3814
20130820,3810,3828,3792,3796,1517702,1548418,3811
20130821,3796,3807,3786,3789,1150250,1559268,3797
20130822,3777,3799,3762,3769,1747080,1579348,3777
20130823,3772,3820,3771,3817,2136050,1553756,3803
20130826,3827,3848,3802,3813,2048358,1536606,3822
20130827,3801,3830,3776,3818,2137384,1451724,3802
20130828,3817,3835,3765,3767,2350504,1388152,3806
20130829,3768,3790,3727,3749,2330452,1356098,3757
20130830,3733,3769,3732,3753,1441268,1321394,3754
20130902,3765,3797,3763,3787,1452760,1261620,3782
20130903,3793,3799,3741,3745,2010496,1476768,3782
20130904,3744,3756,3729,3737,1309680,1490822,3782
20130905,3731,3748,3723,3732,1201718,1429706,3782
20130906,3729,3733,3705,3723,1544364,1447746,3782
20130909,3732,3764,3732,3752,1343182,1423692,3782
20130910,3751,3755,3721,3736,1186452,1422682,3782
20130911,3731,3742,3716,3727,1304284,1514582,3782
20130912,3723,3734,3710,3713,1060552,1524132,3719
20130913,3709,3710,3655,3657,1823146,1548012,3676
20130916,3661,3668,3628,3647,1416362,1501692,3649
20130917,3645,3661,3636,3647,1199380,1520864,3646
20130918,3640,3643,3618,3633,1376762,1461740,3631
20130923,3629,3656,3612,3655,1429956,1540458,3637
20130924,3653,3664,3626,3627,1224802,1594662,3642
20130925,3627,3637,3617,3626,1026100,1564742,3625
20130926,3625,3628,3605,3613,1024020,1542336,3616
20130927,3610,3612,3570,3576,1164922,1498626,3586
20130930,3586,3598,3581,3587,648414,1384192,3588
20131008,3579,3600,3541,3599,1071150,1412986,3563
20131009,3594,3621,3580,3589,1716768,1482090,3599
20131010,3587,3608,3584,3597,1022460,1461730,3596
20131011,3603,3621,3590,3601,1156954,1507714,3607
20131014,3602,3628,3598,3625,1129852,1455458,3612
20131015,3626,3636,3585,3606,1206938,1479608,3613
20131016,3610,3612,3560,3567,1254510,1503134,3582
20131017,3577,3586,3557,3558,991812,1409634,3570
20131018,3563,3581,3539,3568,1365830,1306888,3561
20131021,3558,3583,3551,3570,769944,1283468,3566
20131022,3565,3577,3555,3557,476304,1288314,3562
20131023,3559,3572,3536,3537,518390,1243242,3554
