SRL8 白糖主连 日线 后复权
日期,开盘,最高,最低,收盘,成交量,持仓量,结算价
20130819,5079,5080,5035,5038,405590,547240,5055
20130820,5000,5030,4995,5029,346828,563398,5016
20130821,5020,5050,5002,5007,367550,557224,5026
20130822,4980,5004,4953,4955,323768,555566,4981
20130823,4955,4966,4930,4931,307424,563630,4950
20130826,4966,5044,4961,5042,787486,624626,5020
20130827,5044,5054,5015,5025,372566,620454,5033
20130828,5019,5079,5012,5031,742168,613856,5053
20130829,5047,5068,4990,5040,820920,615462,5045
20130830,5028,5039,4986,4996,530012,603390,5010
20130902,5006,5016,4986,4987,434788,649256,5000
20130903,4990,5035,4983,5018,653860,699260,5000
20130904,5025,5038,4995,5038,554584,693398,5000
20130905,5023,5060,5015,5044,628586,703796,5000
20130906,5063,5168,5058,5167,1349220,810972,5000
20130909,5164,5183,5150,5169,764510,808164,5000
20130910,5181,5188,5134,5153,675414,763290,5000
20130911,5182,5207,5144,5151,731746,767742,5000
20130912,5152,5169,5124,5147,535174,730154,5150
20130913,5155,5168,5135,5150,381102,727508,5150
20130916,5138,5201,5077,5084,1331474,686478,5139
20130917,5085,5097,5066,5073,436730,663726,5079
20130918,5062,5085,5049,5053,345070,627226,5061
20130923,5091,5093,5061,5063,349268,622952,5073
20130924,5083,5108,5075,5095,420890,619562,5094
20130925,5110,5139,5110,5128,395874,608064,5128
20130926,5157,5170,5131,5137,344462,588306,5150
20130927,5142,5145,5088,5103,255804,559918,5110
20130930,5065,5125,5058,5089,152550,543580,5082
20131008,5172,5175,5141,5156,218648,510940,5158
20131009,5157,5166,5119,5142,208006,522122,5146
20131010,5137,5232,5135,5231,570630,597680,5193
20131011,5239,5252,5226,5240,378638,601030,5239
20131014,5255,5258,5210,5219,391002,555254,5226
20131015,5240,5280,5230,5259,406996,526310,5256
20131016,5225,5234,5208,5224,181198,512902,5223
20131017,5260,5264,5210,5219,257656,500656,5239
20131018,5228,5230,5183,5213,266126,484288,5199
20131021,5262,5278,5237,5273,395856,461994,5255
20131022,5266,5272,5235,5240,190902,454486,5249
20131023,5243,5255,5201,5202,224446,400886,5225
20131024,5198,5248,5192,5224,315566,389190,5227
20131025,5208,5208,5160,5175,194982,370686,5182
20131028,5180,5220,5171,5173,180792,372244,5189
20131029,5156,5187,5155,5172,125612,363006,5170
20131030,5143,5189,5143,5178,172054,367322,5168
20131031,5172,5214,5161,5194,268274,376730,5192
20131101,5199,5212,5164,5209,231588,335756,5191
20131104,5183,5212,5183,5202,105168,312234,5198
20131105,5210,5226,5198,5221,118644,314326,5216
20131106,5212,5212,5196,5207,56292,312222,5204
20131107,5190,5205,5188,5202,54998,290554,5197
20131108,5169,5175,5154,5158,142636,277170,5164
20131111,5165,5166,5133,5142,176540,281338,5148
20131112,5145,5152,5117,5127,188544,281912,5133
20131113,5120,5146,5106,5139,241760,295232,5127
20131114,5135,5152,5127,5149,213798,314904,5140
20131115,5136,5142,5067,5072,419246,340652,5104
20131118,5082,5083,5034,5035,316758,379286,5054
20131119,5044,5055,5036,5045,244268,383608,5045
20131120,5040,5063,5016,5052,324934,373652,5045
20131121,5049,5060,5035,5036,210140,375504,5048
20131122,5030,5040,5006,5008,374286,404088,5020
20131125,5000,5008,4984,4993,302680,412698,4995
20131126,4984,5004,4981,4989,198952,410586,4992
20131127,4994,5022,4991,5013,295470,416008,5011
20131128,5001,5032,4995,5024,362002,413810,5013
20131129,5021,5037,5009,5012,241674,420518,5022
20131202,5010,5010,4965,4968,349986,460924,4977
20131203,4959,4972,4953,4959,201926,462828,4962
20131204,4950,4970,4944,4962,284966,487608,4958
20131205,4955,4965,4948,4958,271944,495274,4957
20131206,4968,4976,4948,4954,278258,506950,4958
20131209,4940,4943,4907,4910,403976,549378,4921
20131210,4905,4914,4891,4894,320944,566128,4900
20131211,4906,4916,4903,4906,217218,555486,4910
20131212,4893,4893,4871,4879,293074,592690,4880
20131213,4851,4877,4848,4873,337942,600308,4864
20131216,4880,4898,4874,4875,310436,608308,4885
20131217,4883,4885,4863,4872,264886,619824,4874
20131218,4838,4876,4822,4875,445558,615974,4844
20131219,4865,4889,4862,4873,410450,614640,4876
20131220,4900,4915,4887,4893,471220,598488,4902
20131223,4905,4912,4872,4879,304744,597174,4890
20131224,4861,4875,4852,4864,249882,568674,4863
20131225,4861,4871,4836,4847,234794,571628,4852
20131226,4847,4894,4841,4882,495156,611172,4874
20131227,4887,4895,4852,4857,375744,585574,4870
20131230,4860,4870,4826,4830,338640,598936,4845
20131231,4819,4824,4781,4788,392654,616932,4798
20140102,4787,4802,4782,4789,161882,611476,4791
20140103,4790,4790,4753,4762,220156,606614,4766
20140106,4738,4738,4646,4653,625638,677236,4673
20140107,4660,4675,4615,4617,391736,670686,4641
20140108,4617,4617,4555,4564,441906,678284,4578
20140109,4520,4558,4498,4547,597518,676388,4533
20140110,4525,4559,4520,4554,386596,689138,4539
