002594 比亚迪 5分钟线 后复权
日期,时间,开盘,最高,最低,收盘,成交量,成交额
2023/07/06,0935,267.00,268.42,266.80,268.00,695400,186123648.00
2023/07/06,0940,268.00,269.33,267.50,268.16,571500,153406832.00
2023/07/06,0945,268.18,268.73,267.79,268.08,366100,98179840.00
2023/07/06,0950,268.08,270.22,268.07,269.86,473400,127578360.00
2023/07/06,0955,269.90,269.91,268.57,268.69,189500,51067132.00
2023/07/06,1000,268.71,269.88,268.31,269.88,217300,58476056.00
2023/07/06,1005,269.88,270.00,268.88,269.95,273600,73779216.00
2023/07/06,1010,269.95,270.59,269.31,270.39,291900,78859888.00
2023/07/06,1015,270.29,270.60,269.60,270.60,254200,68707128.00
2023/07/06,1020,270.59,271.97,270.57,271.96,569000,154374768.00
2023/07/06,1025,271.99,272.00,270.60,270.80,232300,63051156.00
2023/07/06,1030,270.84,270.98,270.30,270.78,176600,47790808.00
2023/07/06,1035,270.81,270.81,269.38,269.38,191200,51607148.00
2023/07/06,1040,269.38,269.60,268.98,269.01,157200,42335004.00
2023/07/06,1045,269.04,269.05,268.66,268.78,135800,36509684.00
2023/07/06,1050,268.80,268.98,268.53,268.58,136100,36569732.00
2023/07/06,1055,268.58,268.89,268.50,268.64,113500,30492324.00
2023/07/06,1100,268.64,268.99,268.54,268.98,92200,24790518.00
2023/07/06,1105,268.83,268.98,268.21,268.38,135300,36337660.00
2023/07/06,1110,268.36,268.67,268.02,268.20,188400,50532768.00
2023/07/06,1115,268.61,268.61,268.10,268.14,59600,15995446.00
2023/07/06,1120,268.10,268.32,268.00,268.26,183300,49135552.00
2023/07/06,1125,268.26,268.27,267.80,267.98,103300,27677548.00
2023/07/06,1130,268.00,268.10,267.47,267.93,178100,47693328.00
2023/07/06,1305,267.82,267.92,267.29,267.92,209600,56076960.00
2023/07/06,1310,267.85,268.58,267.59,268.17,93500,25065716.00
2023/07/06,1315,268.19,268.19,267.55,267.92,73600,19715808.00
