159329 沙特ETF 5分钟线 后复权
日期,时间,开盘,最高,最低,收盘,成交量,成交额
2024/07/16,0935,1.000,1.014,1.000,1.005,102527500,102949208.00
2024/07/16,0940,1.005,1.008,1.005,1.008,46549700,46838032.00
2024/07/16,0945,1.008,1.011,1.006,1.010,54615700,55084464.00
2024/07/16,0950,1.010,1.010,1.007,1.008,29187700,29432494.00
2024/07/16,0955,1.009,1.015,1.008,1.013,46712600,47235964.00
2024/07/16,1000,1.013,1.022,1.011,1.021,53477900,54271876.00
2024/07/16,1005,1.020,1.031,1.015,1.030,104497100,106950224.00
2024/07/16,1010,1.030,1.060,1.028,1.031,147888400,153575344.00
2024/07/16,1015,1.030,1.033,1.024,1.029,89870000,92449800.00
2024/07/16,1020,1.030,1.037,1.028,1.031,63616300,65649200.00
2024/07/16,1025,1.031,1.033,1.029,1.032,33885300,34946904.00
2024/07/16,1030,1.032,1.032,1.028,1.029,29120600,30016666.00
2024/07/16,1035,1.029,1.030,1.024,1.030,45971600,47221888.00
2024/07/16,1040,1.030,1.041,1.030,1.038,132274800,137034064.00
2024/07/16,1045,1.038,1.039,1.031,1.032,64099100,66284704.00
2024/07/16,1050,1.032,1.037,1.031,1.036,54241200,56103848.00
2024/07/16,1055,1.036,1.038,1.034,1.037,57236600,59326864.00
2024/07/16,1100,1.037,1.045,1.037,1.044,120039800,124895384.00
2024/07/16,1105,1.044,1.051,1.043,1.048,134521200,140846960.00
2024/07/16,1110,1.049,1.079,1.048,1.067,214512200,227078944.00
2024/07/16,1115,1.066,1.066,1.047,1.049,184361800,194736256.00
2024/07/16,1120,1.048,1.068,1.048,1.066,203897600,216083392.00
2024/07/16,1125,1.065,1.074,1.065,1.070,206207200,220723872.00
2024/07/16,1130,1.070,1.079,1.069,1.071,215581000,231670464.00
2024/07/16,1305,1.071,1.079,1.071,1.077,180836000,194649904.00
2024/07/16,1310,1.078,1.079,1.076,1.079,59086200,63709844.00
2024/07/16,1315,1.079,1.079,1.079,1.079,8491100,9161926.00
2024/07/16,1320,1.079,1.079,1.079,1.079,2127700,2295805.50
2024/07/16,1325,1.079,1.079,1.079,1.079,3613000,3898359.75
2024/07/16,1330,1.079,1.079,1.079,1.079,1796700,1938698.63
2024/07/16,1335,1.079,1.079,1.079,1.079,3208500,3461883.25
2024/07/16,1340,1.079,1.079,1.079,1.079,1616700,1744453.88
2024/07/16,1345,1.079,1.079,1.079,1.079,1012200,1092191.75
2024/07/16,1350,1.079,1.079,1.079,1.079,1319300,1423546.25
2024/07/16,1355,1.079,1.079,1.079,1.079,1729800,1866465.00
2024/07/16,1400,1.079,1.079,1.079,1.079,810500,874531.63
2024/07/16,1405,1.079,1.079,1.079,1.079,1045300,1127780.50
2024/07/16,1410,1.079,1.079,1.079,1.079,729100,786701.06
2024/07/16,1415,1.079,1.079,1.079,1.079,794700,857486.75
2024/07/16,1420,1.079,1.079,1.079,1.079,663500,715933.81
2024/07/16,1425,1.079,1.079,1.079,1.079,678700,732337.81
2024/07/16,1430,1.079,1.079,1.079,1.079,669400,722288.06
2024/07/16,1435,1.079,1.079,1.079,1.079,530000,571874.31
2024/07/16,1440,1.079,1.079,1.079,1.079,787900,850160.38
2024/07/16,1445,1.079,1.079,1.079,1.079,1020500,1101054.75
2024/07/16,1450,1.079,1.079,1.079,1.079,872000,940888.00
2024/07/16,1455,1.079,1.079,1.079,1.079,885000,954917.19
2024/07/16,1500,1.079,1.079,1.079,1.079,907200,978874.25
2024/07/17,0935,1.187,1.187,1.156,1.187,376982200,446237120.00
2024/07/17,0940,1.187,1.187,1.184,1.185,199655600,236948800.00
2024/07/17,0945,1.185,1.187,1.185,1.187,21812600,25883110.00
2024/07/17,0950,1.187,1.187,1.187,1.187,4565700,5419398.50
2024/07/17,0955,1.187,1.187,1.187,1.187,1330900,1579838.88
2024/07/17,1000,1.187,1.187,1.187,1.187,1341100,1591910.50
2024/07/17,1005,1.187,1.187,1.187,1.187,836100,992466.19
2024/07/17,1010,1.187,1.187,1.187,1.187,2094400,2485950.75
2024/07/17,1015,1.187,1.187,1.187,1.187,557400,661652.81
2024/07/17,1020,1.187,1.187,1.187,1.187,1182100,1403190.63
2024/07/17,1025,1.187,1.187,1.187,1.187,402100,477310.53
2024/07/17,1030,1.187,1.187,1.187,1.187,1631700,1936819.63
2024/07/17,1035,1.187,1.187,1.187,1.187,600000,712200.00
2024/07/17,1040,1.187,1.187,1.187,1.187,197000,233843.73
2024/07/17,1045,1.187,1.187,1.187,1.187,454600,539626.81
2024/07/17,1050,1.187,1.187,1.187,1.187,296500,351952.63
2024/07/17,1055,1.187,1.187,1.187,1.187,518100,614918.19
2024/07/17,1100,1.187,1.187,1.187,1.187,274100,325361.44
2024/07/17,1105,1.187,1.187,1.187,1.187,105600,125348.38
2024/07/17,1110,1.187,1.187,1.187,1.187,148400,176153.17
2024/07/17,1115,1.187,1.187,1.187,1.187,176500,209530.44
2024/07/17,1120,1.187,1.187,1.187,1.187,506600,601347.25
2024/07/17,1125,1.187,1.187,1.187,1.187,195900,232536.88
2024/07/17,1130,1.187,1.187,1.187,1.187,51400,61011.80
2024/07/17,1305,1.187,1.187,1.187,1.187,2870900,3407789.00
2024/07/17,1310,1.187,1.187,1.187,1.187,213900,253787.70
2024/07/17,1315,1.187,1.187,1.187,1.187,236300,280488.09
2024/07/17,1320,1.187,1.187,1.187,1.187,109900,130454.86
2024/07/17,1325,1.187,1.187,1.187,1.187,156400,185650.36
2024/07/17,1330,1.187,1.187,1.187,1.187,225500,267668.50
2024/07/17,1335,1.187,1.187,1.187,1.187,430500,511003.50
2024/07/17,1340,1.187,1.187,1.187,1.187,56700,67312.39
2024/07/17,1345,1.187,1.187,1.187,1.187,159200,188970.41
2024/07/17,1350,1.187,1.187,1.187,1.187,145100,172233.70
2024/07/17,1355,1.187,1.187,1.187,1.187,54700,64928.90
2024/07/17,1400,1.187,1.187,1.187,1.187,190700,226362.09
2024/07/17,1405,1.187,1.187,1.187,1.187,30400,36085.98
2024/07/17,1410,1.187,1.187,1.187,1.187,83400,98995.80
2024/07/17,1415,1.187,1.187,1.187,1.187,174500,207139.81
2024/07/17,1420,1.187,1.187,1.187,1.187,159900,189803.66
2024/07/17,1425,1.187,1.187,1.187,1.187,541800,643129.69
2024/07/17,1430,1.187,1.187,1.187,1.187,63600,75494.39
2024/07/17,1435,1.187,1.187,1.187,1.187,136600,162150.14
2024/07/17,1440,1.187,1.187,1.187,1.187,29800,35372.60
2024/07/17,1445,1.187,1.187,1.187,1.187,103800,123210.59
2024/07/17,1450,1.187,1.187,1.187,1.187,278000,329986.03
2024/07/17,1455,1.187,1.187,1.187,1.187,216700,257222.92
2024/07/17,1500,1.187,1.187,1.187,1.187,215500,255798.50
2024/07/18,0935,1.187,1.187,1.187,1.187,0,0.00
2024/07/18,0940,1.187,1.187,1.187,1.187,0,0.00
2024/07/18,0945,1.187,1.187,1.187,1.187,0,0.00
2024/07/18,0950,1.187,1.187,1.187,1.187,0,0.00
2024/07/18,0955,1.187,1.187,1.187,1.187,0,0.00
2024/07/18,1000,1.187,1.187,1.187,1.187,0,0.00
2024/07/18,1005,1.187,1.187,1.187,1.187,0,0.00
2024/07/18,1010,1.187,1.187,1.187,1.187,0,0.00
2024/07/18,1015,1.187,1.187,1.187,1.187,0,0.00
2024/07/18,1020,1.187,1.187,1.187,1.187,0,0.00
2024/07/18,1025,1.187,1.187,1.187,1.187,0,0.00
2024/07/18,1030,1.187,1.187,1.187,1.187,0,0.00
2024/07/18,1035,1.190,1.291,1.161,1.288,769855800,944962752.00
2024/07/18,1040,1.291,1.298,1.257,1.273,506123700,645625920.00
2024/07/18,1045,1.273,1.273,1.250,1.272,306773200,387817216.00
2024/07/18,1050,1.274,1.274,1.265,1.268,144378000,183143104.00
2024/07/18,1055,1.268,1.268,1.222,1.222,296362600,369460608.00
2024/07/18,1100,1.221,1.243,1.212,1.236,269009800,331865632.00
2024/07/18,1105,1.237,1.267,1.237,1.258,253705800,317292096.00
2024/07/18,1110,1.259,1.259,1.250,1.250,152866400,191864304.00
2024/07/18,1115,1.249,1.251,1.241,1.247,130851000,163073024.00
2024/07/18,1120,1.247,1.248,1.231,1.240,104544200,129711408.00
2024/07/18,1125,1.240,1.242,1.234,1.237,74973400,92888056.00
2024/07/18,1130,1.237,1.237,1.220,1.222,134698700,165546944.00
2024/07/18,1305,1.220,1.247,1.218,1.240,159055100,196851408.00
2024/07/18,1310,1.240,1.240,1.231,1.236,75221200,92958944.00
2024/07/18,1315,1.236,1.236,1.226,1.230,74312700,91442512.00
2024/07/18,1320,1.230,1.230,1.222,1.226,76054000,93257896.00
2024/07/18,1325,1.226,1.231,1.225,1.227,55339100,67934000.00
2024/07/18,1330,1.227,1.227,1.222,1.224,48345200,59184600.00
2024/07/18,1335,1.224,1.224,1.205,1.208,168743700,204519504.00
2024/07/18,1340,1.208,1.209,1.130,1.147,309941600,361795680.00
2024/07/18,1345,1.150,1.172,1.149,1.166,192423200,223484128.00
2024/07/18,1350,1.165,1.173,1.159,1.172,114591400,133571704.00
2024/07/18,1355,1.171,1.172,1.153,1.159,110862600,129309712.00
2024/07/18,1400,1.159,1.164,1.153,1.157,99336700,115071936.00
2024/07/18,1405,1.157,1.157,1.144,1.145,89334500,102836872.00
2024/07/18,1410,1.145,1.153,1.143,1.150,100540000,115484368.00
2024/07/18,1415,1.150,1.154,1.146,1.151,66883000,76996144.00
2024/07/18,1420,1.151,1.151,1.140,1.140,63955500,73239856.00
2024/07/18,1425,1.140,1.140,1.126,1.132,145416100,164784736.00
2024/07/18,1430,1.132,1.134,1.122,1.124,107520300,121210784.00
2024/07/18,1435,1.124,1.124,1.108,1.121,198809800,221748208.00
2024/07/18,1440,1.122,1.134,1.117,1.127,137276500,154422304.00
2024/07/18,1445,1.126,1.126,1.116,1.116,74620500,83651680.00
2024/07/18,1450,1.118,1.122,1.117,1.120,83715700,93702808.00
2024/07/18,1455,1.120,1.120,1.105,1.106,110441500,122829816.00
2024/07/18,1500,1.106,1.111,1.106,1.108,79788700,88415456.00
2024/07/19,0935,1.138,1.173,1.137,1.141,382226400,439140864.00
