159509 纳指科技ETF 5分钟线 后复权
日期,时间,开盘,最高,最低,收盘,成交量,成交额
2023/08/08,0935,0.981,0.988,0.978,0.982,13438100,13194364.00
2023/08/08,0940,0.981,0.982,0.980,0.980,10856400,10651602.00
2023/08/08,0945,0.981,0.982,0.980,0.982,2704800,2652776.00
2023/08/08,0950,0.982,0.983,0.981,0.983,3129700,3072745.75
2023/08/08,0955,0.982,0.983,0.982,0.983,1014000,995757.44
2023/08/08,1000,0.983,0.983,0.981,0.982,2355900,2313732.75
2023/08/08,1005,0.982,0.983,0.982,0.982,547700,538082.81
2023/08/08,1010,0.982,0.983,0.982,0.982,310100,304461.38
2023/08/08,1015,0.983,0.983,0.981,0.981,3411200,3349933.25
2023/08/08,1020,0.982,0.982,0.981,0.982,3231500,3172420.00
2023/08/08,1025,0.982,0.983,0.982,0.982,193000,189540.45
2023/08/08,1030,0.982,0.983,0.982,0.983,253300,248844.72
2023/08/08,1035,0.983,0.983,0.982,0.983,448500,440416.63
2023/08/08,1040,0.983,0.983,0.982,0.983,286400,281518.19
2023/08/08,1045,0.982,0.983,0.982,0.982,1002500,984541.88
2023/08/08,1050,0.982,0.983,0.982,0.983,31700,31152.10
2023/08/08,1055,0.983,0.983,0.982,0.982,154500,151690.08
2023/08/08,1100,0.982,0.983,0.982,0.982,86600,85060.64
2023/08/08,1105,0.983,0.983,0.983,0.983,222000,218206.00
2023/08/08,1110,0.983,0.983,0.983,0.983,60700,59668.10
2023/08/08,1115,0.983,0.984,0.983,0.984,3508500,3449016.00
2023/08/08,1120,0.984,0.985,0.983,0.985,697800,686609.63
2023/08/08,1125,0.985,0.985,0.984,0.984,622500,612546.19
2023/08/08,1130,0.984,0.984,0.983,0.984,113500,111597.63
2023/08/08,1305,0.985,0.986,0.984,0.986,790600,778367.13
2023/08/08,1310,0.986,0.986,0.985,0.985,565700,557319.88
2023/08/08,1315,0.984,0.985,0.984,0.985,405600,399488.19
2023/08/08,1320,0.985,0.986,0.985,0.986,555700,547430.69
2023/08/08,1325,0.986,0.986,0.985,0.986,118200,116484.70
2023/08/08,1330,0.986,0.986,0.985,0.986,280600,276464.97
2023/08/08,1335,0.985,0.986,0.985,0.986,345800,340714.16
2023/08/08,1340,0.986,0.986,0.985,0.986,886400,873218.69
2023/08/08,1345,0.986,0.986,0.984,0.985,1206400,1189273.38
2023/08/08,1350,0.984,0.986,0.984,0.986,565500,556925.19
2023/08/08,1355,0.986,0.986,0.985,0.986,813400,801881.13
2023/08/08,1400,0.985,0.986,0.985,0.986,520200,512742.25
2023/08/08,1405,0.986,0.986,0.985,0.985,792400,781264.63
2023/08/08,1410,0.986,0.986,0.985,0.985,1109100,1092577.88
2023/08/08,1415,0.985,0.986,0.985,0.985,595500,586610.31
2023/08/08,1420,0.985,0.986,0.985,0.986,2941600,2900345.50
2023/08/08,1425,0.986,0.986,0.985,0.986,663800,654188.06
2023/08/08,1430,0.986,0.986,0.985,0.986,231500,228118.84
2023/08/08,1435,0.986,0.986,0.985,0.986,91100,89803.60
2023/08/08,1440,0.986,0.986,0.985,0.986,910300,897528.38
2023/08/08,1445,0.987,0.988,0.986,0.988,1714200,1692108.50
2023/08/08,1450,0.988,0.990,0.988,0.990,1754900,1735225.00
2023/08/08,1455,0.989,0.990,0.989,0.989,2439300,2412591.75
2023/08/08,1500,0.988,0.989,0.987,0.987,3277900,3237711.00
2023/08/09,0935,0.979,0.979,0.973,0.975,3064600,2990764.75
2023/08/09,0940,0.976,0.976,0.974,0.976,2993300,2917761.75
2023/08/09,0945,0.976,0.976,0.975,0.976,2341100,2283689.00
2023/08/09,0950,0.976,0.976,0.975,0.975,3156800,3080145.75
2023/08/09,0955,0.975,0.976,0.974,0.975,11573500,11284246.00
2023/08/09,1000,0.975,0.975,0.974,0.975,3445800,3359192.75
2023/08/09,1005,0.974,0.975,0.974,0.975,46900,45716.80
2023/08/09,1010,0.975,0.975,0.974,0.975,1012800,987199.00
