161128 标普信息科技LOF 5分钟线 后复权
日期,时间,开盘,最高,最低,收盘,成交量,成交额
2023/07/06,0935,3.664,3.768,3.664,3.714,225100,834919.13
2023/07/06,0940,3.715,3.730,3.715,3.724,86500,322132.72
2023/07/06,0945,3.724,3.724,3.709,3.709,91400,339409.63
2023/07/06,0950,3.709,3.718,3.709,3.717,83000,308227.13
2023/07/06,0955,3.718,3.735,3.718,3.727,275100,1025659.75
2023/07/06,1000,3.726,3.727,3.724,3.727,27100,100882.49
2023/07/06,1005,3.727,3.729,3.725,3.725,46800,174399.41
2023/07/06,1010,3.724,3.724,3.710,3.715,194400,722002.25
2023/07/06,1015,3.715,3.721,3.715,3.717,131000,487119.91
2023/07/06,1020,3.713,3.721,3.711,3.721,119700,444690.06
2023/07/06,1025,3.721,3.721,3.717,3.718,43500,161796.61
2023/07/06,1030,3.716,3.717,3.712,3.712,50500,187622.59
2023/07/06,1035,3.715,3.715,3.712,3.712,17800,66110.10
2023/07/06,1040,3.714,3.717,3.714,3.714,24700,91752.12
2023/07/06,1045,3.714,3.716,3.713,3.714,9400,34912.31
2023/07/06,1050,3.714,3.716,3.711,3.716,65700,244023.72
2023/07/06,1055,3.716,3.719,3.715,3.715,12900,47941.30
2023/07/06,1100,3.717,3.717,3.717,3.717,6800,25275.60
2023/07/06,1105,3.720,3.726,3.720,3.722,59800,222623.91
2023/07/06,1110,3.722,3.742,3.722,3.739,161100,601043.38
2023/07/06,1115,3.736,3.740,3.731,3.735,51900,194002.59
2023/07/06,1120,3.735,3.735,3.726,3.732,57300,213671.69
2023/07/06,1125,3.732,3.734,3.728,3.733,14300,53339.80
2023/07/06,1130,3.727,3.727,3.725,3.725,27600,102852.80
2023/07/06,1305,3.721,3.729,3.719,3.721,107200,399136.63
2023/07/06,1310,3.721,3.721,3.718,3.718,32400,120538.60
2023/07/06,1315,3.718,3.718,3.710,3.710,74600,277005.84
2023/07/06,1320,3.710,3.717,3.710,3.712,14100,52391.70
2023/07/06,1325,3.712,3.712,3.711,3.712,22300,82777.30
2023/07/06,1330,3.712,3.712,3.707,3.712,97500,361794.44
2023/07/06,1335,3.712,3.716,3.712,3.715,23700,88046.80
2023/07/06,1340,3.715,3.719,3.715,3.715,44000,163467.88
2023/07/06,1345,3.716,3.718,3.715,3.718,10400,38749.92
2023/07/06,1350,3.716,3.718,3.716,3.718,3100,11211.97
2023/07/06,1355,3.716,3.718,3.716,3.716,12000,44599.40
2023/07/06,1400,3.715,3.715,3.715,3.715,58300,216837.09
2023/07/06,1405,3.717,3.718,3.716,3.718,27600,102598.00
2023/07/06,1410,3.718,3.718,3.711,3.714,38200,141878.19
2023/07/06,1415,3.717,3.717,3.712,3.714,12600,46791.40
2023/07/06,1420,3.713,3.717,3.713,3.717,49300,183189.41
2023/07/06,1425,3.716,3.716,3.712,3.712,10900,40475.40
2023/07/06,1430,3.712,3.713,3.711,3.713,37200,138086.09
2023/07/06,1435,3.713,3.714,3.711,3.711,35900,133273.09
2023/07/06,1440,3.711,3.712,3.710,3.710,13500,50090.10
2023/07/06,1445,3.710,3.712,3.710,3.712,24000,89053.00
2023/07/06,1450,3.710,3.711,3.708,3.711,55300,205153.44
2023/07/06,1455,3.711,3.711,3.709,3.710,48000,178152.19
2023/07/06,1500,3.710,3.712,3.710,3.712,58900,218472.09
2023/07/07,0935,3.711,3.711,3.666,3.675,360300,1330954.38
2023/07/07,0940,3.672,3.689,3.672,3.676,137500,506218.50
2023/07/07,0945,3.676,3.685,3.676,3.679,21700,79858.59
2023/07/07,0950,3.679,3.687,3.677,3.684,75300,277420.69
2023/07/07,0955,3.687,3.687,3.684,3.686,18500,68178.40
2023/07/07,1000,3.688,3.688,3.683,3.683,15200,56008.90
2023/07/07,1005,3.683,3.683,3.680,3.683,21500,79154.00
