162411 华宝油气LOF 5分钟线 后复权
日期,时间,开盘,最高,最低,收盘,成交量,成交额
2023/07/06,0935,0.715,0.715,0.712,0.713,2199800,1570312.00
2023/07/06,0940,0.713,0.714,0.713,0.714,800900,571212.50
2023/07/06,0945,0.714,0.714,0.713,0.713,2335800,1666751.00
2023/07/06,0950,0.713,0.714,0.713,0.714,122700,87548.60
2023/07/06,0955,0.714,0.714,0.713,0.713,156900,111917.09
2023/07/06,1000,0.714,0.714,0.713,0.714,927400,661707.50
2023/07/06,1005,0.713,0.714,0.713,0.713,313600,223606.31
2023/07/06,1010,0.714,0.714,0.713,0.714,248700,177468.61
2023/07/06,1015,0.713,0.714,0.713,0.713,226600,161609.41
2023/07/06,1020,0.713,0.714,0.713,0.713,84300,60132.70
2023/07/06,1025,0.714,0.714,0.713,0.714,129500,92434.90
2023/07/06,1030,0.714,0.714,0.713,0.714,116000,82812.20
2023/07/06,1035,0.714,0.714,0.713,0.714,519300,370266.63
2023/07/06,1040,0.714,0.714,0.713,0.713,43300,30876.20
2023/07/06,1045,0.714,0.714,0.713,0.713,126700,90345.50
2023/07/06,1050,0.713,0.714,0.713,0.713,426000,303753.91
2023/07/06,1055,0.713,0.714,0.713,0.713,184900,131834.09
2023/07/06,1100,0.713,0.714,0.713,0.713,369400,263746.19
2023/07/06,1105,0.713,0.714,0.713,0.713,12600,8984.20
2023/07/06,1110,0.714,0.714,0.713,0.713,9400,6710.80
2023/07/06,1115,0.714,0.714,0.713,0.713,160300,114318.30
2023/07/06,1120,0.714,0.714,0.713,0.713,97000,69184.10
2023/07/06,1125,0.713,0.714,0.713,0.714,432600,308629.19
2023/07/06,1130,0.714,0.714,0.713,0.713,4525100,3230675.75
2023/07/06,1305,0.714,0.714,0.712,0.712,4674800,3331328.50
2023/07/06,1310,0.712,0.713,0.712,0.712,434300,309376.41
2023/07/06,1315,0.713,0.713,0.712,0.712,113700,81052.49
2023/07/06,1320,0.712,0.713,0.712,0.712,410400,292536.41
2023/07/06,1325,0.713,0.713,0.712,0.713,120600,85951.60
2023/07/06,1330,0.712,0.713,0.712,0.712,897700,639163.81
2023/07/06,1335,0.712,0.712,0.711,0.711,697300,496323.41
2023/07/06,1340,0.712,0.712,0.711,0.711,467400,332328.09
2023/07/06,1345,0.712,0.712,0.710,0.712,351500,250193.50
2023/07/06,1350,0.712,0.712,0.711,0.711,213700,152077.91
2023/07/06,1355,0.712,0.712,0.710,0.710,1980600,1408160.13
2023/07/06,1400,0.711,0.712,0.710,0.711,390000,277283.44
2023/07/06,1405,0.712,0.712,0.711,0.711,11100,7902.90
2023/07/06,1410,0.711,0.712,0.711,0.712,128600,91450.70
2023/07/06,1415,0.712,0.712,0.711,0.711,133500,95024.70
2023/07/06,1420,0.711,0.712,0.711,0.712,328100,233279.75
2023/07/06,1425,0.711,0.712,0.711,0.711,169600,120587.40
2023/07/06,1430,0.711,0.712,0.711,0.711,316600,225151.20
2023/07/06,1435,0.712,0.713,0.712,0.713,3136900,2233553.25
2023/07/06,1440,0.713,0.713,0.712,0.713,1415700,1009241.38
2023/07/06,1445,0.713,0.713,0.712,0.713,228900,163047.69
2023/07/06,1450,0.713,0.713,0.712,0.712,207900,148117.81
2023/07/06,1455,0.713,0.713,0.711,0.712,3603900,2566176.50
2023/07/06,1500,0.712,0.713,0.711,0.713,386400,275376.91
2023/07/07,0935,0.696,0.697,0.695,0.696,4668500,3248064.75
2023/07/07,0940,0.696,0.696,0.695,0.696,3809400,2647887.75
2023/07/07,0945,0.696,0.696,0.695,0.696,1886100,1312560.13
2023/07/07,0950,0.696,0.697,0.695,0.697,1238000,861739.44
2023/07/07,0955,0.697,0.697,0.695,0.696,1454600,1012355.56
2023/07/07,1000,0.696,0.696,0.695,0.696,711300,494880.88
2023/07/07,1005,0.696,0.697,0.695,0.697,3091300,2151554.75
2023/07/07,1010,0.697,0.697,0.696,0.697,435500,303307.41
2023/07/07,1015,0.697,0.697,0.696,0.697,236400,164588.70
2023/07/07,1020,0.697,0.697,0.696,0.696,238200,165957.70
2023/07/07,1025,0.697,0.697,0.696,0.696,83600,58234.20
2023/07/07,1030,0.697,0.697,0.696,0.697,123300,85904.30
2023/07/07,1035,0.697,0.697,0.696,0.696,178800,124558.60
2023/07/07,1040,0.697,0.697,0.696,0.697,870500,606639.38
2023/07/07,1045,0.697,0.697,0.697,0.697,309600,215791.19
2023/07/07,1050,0.697,0.698,0.697,0.698,2277600,1587691.88
2023/07/07,1055,0.698,0.698,0.697,0.698,47900,33451.90
2023/07/07,1100,0.698,0.698,0.697,0.698,46300,32306.90
2023/07/07,1105,0.698,0.698,0.698,0.698,49800,34760.40
2023/07/07,1110,0.698,0.698,0.697,0.698,306200,213703.19
2023/07/07,1115,0.698,0.698,0.697,0.698,277500,193694.89
2023/07/07,1120,0.698,0.698,0.697,0.698,317300,221257.52
2023/07/07,1125,0.698,0.698,0.697,0.698,343500,239555.50
2023/07/07,1130,0.697,0.698,0.697,0.698,95400,66560.00
2023/07/07,1305,0.698,0.698,0.697,0.697,343300,239452.80
2023/07/07,1310,0.697,0.698,0.697,0.698,255600,178340.50
2023/07/07,1315,0.698,0.699,0.698,0.699,4000000,2792259.50
2023/07/07,1320,0.699,0.700,0.698,0.699,1829800,1279108.50
2023/07/07,1325,0.699,0.700,0.699,0.699,370600,258984.75
2023/07/07,1330,0.700,0.700,0.698,0.699,419100,292982.69
2023/07/07,1335,0.699,0.699,0.698,0.699,180200,125983.02
2023/07/07,1340,0.699,0.699,0.698,0.699,170200,118956.09
2023/07/07,1345,0.699,0.699,0.698,0.699,481700,336289.53
2023/07/07,1350,0.699,0.699,0.698,0.699,564700,394608.06
2023/07/07,1355,0.699,0.699,0.698,0.698,123400,86225.10
2023/07/07,1400,0.698,0.699,0.698,0.699,33100,23134.90
2023/07/07,1405,0.698,0.699,0.698,0.699,162500,113444.90
2023/07/07,1410,0.699,0.699,0.698,0.698,128100,89510.99
2023/07/07,1415,0.699,0.699,0.698,0.699,153800,107493.20
2023/07/07,1420,0.699,0.699,0.698,0.698,792800,553819.88
2023/07/07,1425,0.698,0.699,0.698,0.699,195300,136340.50
2023/07/07,1430,0.699,0.699,0.697,0.698,1872900,1307352.38
2023/07/07,1435,0.697,0.698,0.697,0.697,5710000,3980136.00
2023/07/07,1440,0.697,0.698,0.697,0.698,1165800,812651.38
2023/07/07,1445,0.698,0.698,0.697,0.698,1562000,1088961.50
2023/07/07,1450,0.698,0.698,0.696,0.696,1898800,1323007.38
2023/07/07,1455,0.697,0.697,0.695,0.697,5545200,3859348.00
2023/07/07,1500,0.696,0.697,0.695,0.695,2527900,1757336.50
2023/07/10,0935,0.710,0.711,0.709,0.710,6573300,4668199.50
2023/07/10,0940,0.710,0.711,0.710,0.710,855600,607861.38
2023/07/10,0945,0.710,0.711,0.709,0.709,3416300,2425066.50
2023/07/10,0950,0.709,0.710,0.708,0.709,4981600,3531892.00
2023/07/10,0955,0.709,0.710,0.709,0.709,137600,97568.91
