300750 宁德时代 5分钟线 后复权
日期,时间,开盘,最高,最低,收盘,成交量,成交额
2023/07/06,0935,227.00,227.87,226.41,227.50,549200,124738464.00
2023/07/06,0940,227.69,227.69,226.67,226.75,257100,58377708.00
2023/07/06,0945,226.74,227.41,226.56,227.01,274500,62296932.00
2023/07/06,0950,227.10,227.10,226.59,226.85,248900,56488920.00
2023/07/06,0955,226.71,226.87,226.45,226.50,254300,57641076.00
2023/07/06,1000,226.50,228.48,226.46,227.45,335100,76220920.00
2023/07/06,1005,227.64,228.12,226.86,228.01,209500,47639384.00
2023/07/06,1010,228.01,228.01,227.34,227.48,157600,35870912.00
2023/07/06,1015,227.48,227.50,227.18,227.28,116300,26453576.00
2023/07/06,1020,227.27,227.32,227.12,227.12,169400,38472836.00
2023/07/06,1025,227.12,227.16,226.53,227.10,216000,49025808.00
2023/07/06,1030,227.09,227.20,226.81,227.18,114300,25938204.00
2023/07/06,1035,227.20,227.50,226.99,226.99,96300,21890962.00
2023/07/06,1040,227.01,227.50,226.98,227.20,113300,25726096.00
2023/07/06,1045,227.12,227.31,226.90,227.30,215300,48871664.00
2023/07/06,1050,226.98,227.43,226.61,227.32,229000,51961512.00
2023/07/06,1055,227.43,227.50,226.85,227.36,171900,39066768.00
2023/07/06,1100,227.36,227.58,227.12,227.40,153300,34841352.00
2023/07/06,1105,227.45,227.51,226.90,226.93,160100,36380616.00
2023/07/06,1110,227.28,227.40,226.91,227.32,166200,37758500.00
2023/07/06,1115,227.24,227.47,227.13,227.30,126500,28748310.00
2023/07/06,1120,227.34,227.49,227.00,227.02,159700,36316900.00
2023/07/06,1125,227.15,227.38,226.54,226.75,308500,69982608.00
2023/07/06,1130,226.75,226.76,225.66,226.00,462100,104467072.00
2023/07/06,1305,226.07,226.07,225.26,225.87,445100,100447720.00
2023/07/06,1310,225.97,226.20,225.68,225.99,98400,22226626.00
2023/07/06,1315,225.95,225.99,225.60,225.77,117000,26397520.00
2023/07/06,1320,225.77,225.90,225.31,225.38,158400,35750048.00
2023/07/06,1325,225.35,225.53,225.22,225.22,133700,30109400.00
2023/07/06,1330,225.23,225.23,224.51,224.69,447200,100551976.00
2023/07/06,1335,224.71,225.16,224.70,225.16,131000,29466258.00
2023/07/06,1340,225.15,225.33,225.15,225.20,109900,24753436.00
2023/07/06,1345,225.20,225.35,225.01,225.25,153500,34573796.00
2023/07/06,1350,225.26,225.28,224.78,224.79,211000,47468820.00
2023/07/06,1355,224.80,224.80,224.22,224.24,296200,66507344.00
2023/07/06,1400,224.21,224.53,223.97,224.30,392600,88008136.00
2023/07/06,1405,224.29,224.88,224.02,224.87,208100,46664876.00
2023/07/06,1410,224.88,225.00,224.56,224.62,104300,23441910.00
2023/07/06,1415,224.61,224.99,224.49,224.70,122100,27432220.00
2023/07/06,1420,224.72,224.84,224.35,224.48,161300,36235964.00
2023/07/06,1425,224.45,224.59,224.40,224.43,120100,26961830.00
2023/07/06,1430,224.42,224.68,224.35,224.64,145800,32739420.00
2023/07/06,1435,224.64,224.90,224.62,224.62,153100,34406464.00
2023/07/06,1440,224.60,224.62,224.37,224.41,252100,56572256.00
2023/07/06,1445,224.46,224.47,224.17,224.33,217500,48804648.00
2023/07/06,1450,224.32,224.79,224.20,224.73,272800,61210532.00
2023/07/06,1455,224.73,224.99,224.65,224.86,251400,56529716.00
