511090 30年国债ETF 5分钟线 后复权
日期,时间,开盘,最高,最低,收盘,成交量,成交额
2023/07/06,0935,101.240,101.327,101.230,101.230,6400,650138.00
2023/07/06,0940,101.232,101.300,101.232,101.288,6500,651199.00
2023/07/06,0945,101.288,101.310,101.236,101.246,200,21267.00
2023/07/06,0950,101.246,101.250,101.246,101.250,0,5062.00
2023/07/06,0955,101.250,101.316,101.152,101.229,28300,2864772.00
2023/07/06,1000,101.229,101.229,101.177,101.177,700,70824.00
2023/07/06,1005,101.177,101.219,101.177,101.182,300,31377.00
2023/07/06,1010,101.190,101.190,101.190,101.190,0,1012.00
2023/07/06,1015,101.190,101.200,101.153,101.200,4900,494722.00
2023/07/06,1020,101.200,101.200,101.199,101.199,200,14168.00
2023/07/06,1025,101.200,101.200,101.181,101.181,5000,507012.00
2023/07/06,1030,101.184,101.187,101.184,101.187,0,2023.00
2023/07/06,1035,101.187,101.187,101.187,101.187,0,0.00
2023/07/06,1040,101.187,101.187,101.187,101.187,0,0.00
2023/07/06,1045,101.187,101.187,101.187,101.187,0,0.00
2023/07/06,1050,101.187,101.278,101.187,101.260,7000,710677.00
2023/07/06,1055,101.258,101.285,101.207,101.285,6600,666174.00
2023/07/06,1100,101.285,101.285,101.220,101.220,2000,203453.00
2023/07/06,1105,101.220,101.220,101.220,101.220,100,9109.00
2023/07/06,1110,101.220,101.283,101.220,101.260,1600,163029.00
2023/07/06,1115,101.260,101.275,101.240,101.240,11700,1183616.00
2023/07/06,1120,101.240,101.240,101.240,101.240,0,0.00
2023/07/06,1125,101.240,101.275,101.240,101.260,1100,111384.00
2023/07/06,1130,101.250,101.259,101.240,101.259,500,50624.00
2023/07/06,1305,101.250,101.250,101.229,101.229,200,21260.00
2023/07/06,1310,101.229,101.229,101.229,101.229,0,0.00
2023/07/06,1315,101.229,101.249,101.229,101.233,400,36446.00
2023/07/06,1320,101.233,101.233,101.233,101.233,0,0.00
2023/07/06,1325,101.231,101.250,101.190,101.220,59900,6065671.00
2023/07/06,1330,101.244,101.244,101.222,101.230,1900,192331.00
2023/07/06,1335,101.230,101.239,101.230,101.239,1800,182223.00
2023/07/06,1340,101.239,101.239,101.239,101.239,0,0.00
2023/07/06,1345,101.239,101.239,101.214,101.214,2500,253038.00
2023/07/06,1350,101.214,101.232,101.214,101.232,100,10123.00
2023/07/06,1355,101.232,101.232,101.232,101.232,0,0.00
2023/07/06,1400,101.232,101.232,101.232,101.232,2600,263202.00
2023/07/06,1405,101.230,101.233,101.195,101.195,9000,910999.00
2023/07/06,1410,101.195,101.195,101.153,101.153,18100,1828995.00
2023/07/06,1415,101.153,101.208,101.153,101.208,100,10121.00
2023/07/06,1420,101.208,101.208,101.208,101.208,0,1012.00
