512760 芯片ETF 5分钟线 后复权
日期,时间,开盘,最高,最低,收盘,成交量,成交额
2023/07/06,0935,1.028,1.034,1.026,1.030,12583600,12966251.00
2023/07/06,0940,1.031,1.032,1.027,1.028,12147000,12494511.00
2023/07/06,0945,1.027,1.030,1.026,1.029,12027700,12362111.00
2023/07/06,0950,1.030,1.038,1.030,1.035,14236000,14734448.00
2023/07/06,0955,1.035,1.039,1.034,1.036,20499300,21252924.00
2023/07/06,1000,1.036,1.039,1.036,1.038,8249200,8557673.00
2023/07/06,1005,1.038,1.038,1.034,1.036,6528700,6759441.00
2023/07/06,1010,1.036,1.039,1.035,1.037,14038900,14566944.00
2023/07/06,1015,1.037,1.037,1.035,1.036,4278200,4432107.00
2023/07/06,1020,1.037,1.039,1.035,1.037,8821300,9151408.00
2023/07/06,1025,1.036,1.041,1.034,1.040,14828800,15388740.00
2023/07/06,1030,1.040,1.042,1.039,1.041,7543000,7846759.00
2023/07/06,1035,1.041,1.042,1.039,1.040,10346900,10761081.00
2023/07/06,1040,1.040,1.041,1.036,1.036,6169700,6404627.00
2023/07/06,1045,1.037,1.037,1.035,1.035,6976500,7226795.00
2023/07/06,1050,1.036,1.036,1.033,1.035,5186400,5365160.00
2023/07/06,1055,1.036,1.036,1.035,1.036,1953700,2022442.00
2023/07/06,1100,1.036,1.036,1.033,1.036,2555100,2642549.00
2023/07/06,1105,1.036,1.036,1.033,1.035,1939100,2005550.00
2023/07/06,1110,1.035,1.036,1.034,1.036,1807900,1871378.00
2023/07/06,1115,1.035,1.036,1.034,1.035,1345500,1393162.00
2023/07/06,1120,1.036,1.036,1.033,1.035,6768200,6993370.00
2023/07/06,1125,1.034,1.035,1.034,1.034,2188400,2263723.00
2023/07/06,1130,1.034,1.034,1.031,1.031,3069900,3169768.00
2023/07/06,1305,1.031,1.032,1.030,1.032,10989500,11328668.00
2023/07/06,1310,1.032,1.032,1.030,1.032,4402200,4539473.00
2023/07/06,1315,1.032,1.032,1.031,1.031,2471300,2548628.00
2023/07/06,1320,1.032,1.033,1.029,1.029,6928700,7142464.00
2023/07/06,1325,1.030,1.032,1.030,1.032,1583100,1631745.00
2023/07/06,1330,1.031,1.032,1.030,1.030,2130600,2196808.00
2023/07/06,1335,1.031,1.032,1.030,1.032,2196400,2264520.00
2023/07/06,1340,1.032,1.034,1.031,1.031,3944700,4071504.00
2023/07/06,1345,1.033,1.033,1.030,1.032,3140000,3238838.00
2023/07/06,1350,1.032,1.033,1.031,1.033,3172700,3274186.00
2023/07/06,1355,1.032,1.035,1.032,1.035,19674000,20332032.00
2023/07/06,1400,1.035,1.036,1.033,1.035,26898800,27833252.00
2023/07/06,1405,1.034,1.035,1.033,1.035,6467000,6684301.00
2023/07/06,1410,1.035,1.035,1.032,1.033,2710700,2801860.00
2023/07/06,1415,1.033,1.034,1.031,1.033,3108800,3209875.00
2023/07/06,1420,1.033,1.034,1.032,1.032,3729000,3850393.00
2023/07/06,1425,1.033,1.033,1.030,1.032,5249300,5412165.00
2023/07/06,1430,1.032,1.032,1.031,1.032,981300,1012482.00
2023/07/06,1435,1.032,1.033,1.031,1.032,2011500,2076574.00
2023/07/06,1440,1.033,1.033,1.030,1.030,3766800,3884981.00
2023/07/06,1445,1.031,1.031,1.030,1.031,2911600,3001077.00
2023/07/06,1450,1.031,1.032,1.030,1.031,3290300,3393991.00
2023/07/06,1455,1.032,1.032,1.031,1.032,1827700,1885419.00
2023/07/06,1500,1.032,1.033,1.031,1.032,8405600,8676748.00
2023/07/07,0935,1.026,1.027,1.022,1.024,28485100,29161694.00
2023/07/07,0940,1.025,1.025,1.019,1.020,26356300,26931748.00
2023/07/07,0945,1.020,1.020,1.015,1.015,29416000,29937812.00
2023/07/07,0950,1.016,1.016,1.013,1.015,23043600,23372920.00
2023/07/07,0955,1.015,1.017,1.013,1.014,24302800,24662164.00
2023/07/07,1000,1.015,1.015,1.012,1.013,17116100,17337436.00
2023/07/07,1005,1.013,1.016,1.011,1.015,22031500,22326168.00
2023/07/07,1010,1.015,1.016,1.012,1.013,9993100,10130820.00
2023/07/07,1015,1.012,1.013,1.011,1.011,12011500,12154635.00
