513030 德国ETF 5分钟线 后复权
日期,时间,开盘,最高,最低,收盘,成交量,成交额
2023/07/06,0935,1.233,1.233,1.230,1.231,1164000,1433582.00
2023/07/06,0940,1.231,1.232,1.229,1.232,1417200,1744023.00
2023/07/06,0945,1.232,1.232,1.231,1.231,691600,851423.00
2023/07/06,0950,1.231,1.232,1.231,1.232,68700,84606.00
2023/07/06,0955,1.232,1.232,1.230,1.230,578600,711834.00
2023/07/06,1000,1.231,1.231,1.230,1.230,879900,1082325.00
2023/07/06,1005,1.231,1.231,1.230,1.231,184000,226363.00
2023/07/06,1010,1.231,1.231,1.230,1.230,226200,278412.00
2023/07/06,1015,1.231,1.232,1.231,1.232,425400,523682.00
2023/07/06,1020,1.232,1.232,1.231,1.232,89900,110738.00
2023/07/06,1025,1.232,1.232,1.231,1.232,227100,279782.00
2023/07/06,1030,1.232,1.232,1.232,1.232,87600,107915.00
2023/07/06,1035,1.231,1.233,1.231,1.233,528500,651014.00
2023/07/06,1040,1.233,1.233,1.232,1.232,126200,155601.00
2023/07/06,1045,1.233,1.233,1.232,1.232,225100,277341.00
2023/07/06,1050,1.232,1.233,1.232,1.233,3300,4068.00
2023/07/06,1055,1.233,1.233,1.232,1.232,96000,118273.00
2023/07/06,1100,1.231,1.232,1.231,1.232,34800,42847.00
2023/07/06,1105,1.232,1.232,1.231,1.231,2300,2832.00
2023/07/06,1110,1.231,1.232,1.231,1.232,184100,226649.00
2023/07/06,1115,1.231,1.232,1.231,1.232,25700,31638.00
2023/07/06,1120,1.231,1.232,1.230,1.230,328500,404373.00
2023/07/06,1125,1.230,1.232,1.230,1.231,140000,172360.00
2023/07/06,1130,1.232,1.232,1.231,1.231,66500,81865.00
2023/07/06,1305,1.231,1.231,1.226,1.226,1811400,2228007.00
2023/07/06,1310,1.226,1.227,1.225,1.227,653500,801131.00
2023/07/06,1315,1.227,1.228,1.226,1.228,148300,181961.00
2023/07/06,1320,1.227,1.228,1.227,1.228,121400,149063.00
2023/07/06,1325,1.228,1.228,1.227,1.227,57500,70586.00
2023/07/06,1330,1.227,1.228,1.227,1.228,23900,29335.00
2023/07/06,1335,1.228,1.228,1.227,1.227,134200,164665.00
2023/07/06,1340,1.227,1.228,1.227,1.228,135200,165922.00
2023/07/06,1345,1.228,1.228,1.227,1.228,145300,178370.00
2023/07/06,1350,1.228,1.228,1.226,1.227,373800,458699.00
2023/07/06,1355,1.227,1.228,1.227,1.228,317700,389854.00
2023/07/06,1400,1.228,1.229,1.227,1.229,167400,205551.00
2023/07/06,1405,1.228,1.228,1.227,1.227,167700,205930.00
2023/07/06,1410,1.228,1.229,1.227,1.229,227800,279762.00
2023/07/06,1415,1.229,1.230,1.229,1.230,152800,187898.00
2023/07/06,1420,1.230,1.230,1.229,1.230,135000,165987.00
2023/07/06,1425,1.230,1.231,1.229,1.231,314200,386481.00
2023/07/06,1430,1.231,1.231,1.230,1.230,405700,499086.00
2023/07/06,1435,1.230,1.231,1.229,1.229,115400,141868.00
2023/07/06,1440,1.228,1.230,1.227,1.229,513800,631376.00
2023/07/06,1445,1.229,1.229,1.227,1.228,82500,101307.00
2023/07/06,1450,1.228,1.229,1.228,1.229,530500,651346.00
2023/07/06,1455,1.229,1.229,1.228,1.229,239000,293589.00
2023/07/06,1500,1.229,1.229,1.225,1.227,1094500,1343114.00
2023/07/07,0935,1.209,1.210,1.206,1.207,4826600,5830028.00
2023/07/07,0940,1.207,1.208,1.206,1.208,322900,389695.00
2023/07/07,0945,1.208,1.208,1.206,1.206,797400,962329.00
2023/07/07,0950,1.206,1.207,1.206,1.206,270600,326545.00
2023/07/07,0955,1.206,1.208,1.206,1.208,244400,295045.00
2023/07/07,1000,1.208,1.209,1.207,1.208,748000,903512.00
2023/07/07,1005,1.208,1.209,1.208,1.208,139500,168604.00
2023/07/07,1010,1.208,1.209,1.208,1.209,252100,304681.00
2023/07/07,1015,1.209,1.209,1.207,1.207,287600,347411.00
2023/07/07,1020,1.208,1.208,1.207,1.208,71300,86107.00
2023/07/07,1025,1.208,1.209,1.207,1.208,677200,817617.00
2023/07/07,1030,1.208,1.208,1.207,1.207,36800,44452.00
2023/07/07,1035,1.208,1.208,1.207,1.208,171600,207277.00
2023/07/07,1040,1.208,1.208,1.207,1.208,98200,118565.00
2023/07/07,1045,1.207,1.208,1.207,1.208,451500,545318.00
2023/07/07,1050,1.208,1.210,1.208,1.209,283800,343178.00
2023/07/07,1055,1.210,1.211,1.209,1.211,421000,509402.00
2023/07/07,1100,1.211,1.212,1.210,1.212,217500,263456.00
2023/07/07,1105,1.212,1.213,1.212,1.213,1727600,2094573.00
2023/07/07,1110,1.213,1.214,1.212,1.213,469700,569731.00
2023/07/07,1115,1.213,1.213,1.212,1.213,91300,110699.00
2023/07/07,1120,1.213,1.213,1.212,1.213,423700,513833.00
2023/07/07,1125,1.214,1.214,1.212,1.214,958500,1162727.00
2023/07/07,1130,1.214,1.214,1.213,1.214,1768200,2146565.00
2023/07/07,1305,1.214,1.214,1.210,1.212,1127800,1367508.00
2023/07/07,1310,1.212,1.213,1.211,1.212,1307400,1584393.00
2023/07/07,1315,1.212,1.214,1.211,1.214,256900,311619.00
2023/07/07,1320,1.214,1.214,1.213,1.214,151800,184272.00
2023/07/07,1325,1.214,1.214,1.213,1.213,550100,667474.00
2023/07/07,1330,1.213,1.214,1.213,1.214,117000,142004.00
2023/07/07,1335,1.214,1.214,1.213,1.213,246900,299578.00
2023/07/07,1340,1.213,1.214,1.212,1.214,1337800,1622558.00
2023/07/07,1345,1.214,1.214,1.213,1.213,114000,138345.00
2023/07/07,1350,1.213,1.214,1.213,1.213,32900,39924.00
2023/07/07,1355,1.214,1.214,1.212,1.212,2295900,2786819.00
2023/07/07,1400,1.213,1.213,1.211,1.212,685300,830635.00
2023/07/07,1405,1.212,1.213,1.211,1.212,338800,410645.00
2023/07/07,1410,1.213,1.213,1.212,1.212,82600,100160.00
2023/07/07,1415,1.212,1.213,1.211,1.213,781200,946631.00
2023/07/07,1420,1.212,1.213,1.212,1.213,126500,153423.00
2023/07/07,1425,1.213,1.213,1.212,1.213,24500,29716.00
2023/07/07,1430,1.213,1.213,1.212,1.213,239000,289826.00
2023/07/07,1435,1.213,1.213,1.211,1.211,516800,626362.00
2023/07/07,1440,1.212,1.214,1.211,1.213,1856700,2250840.00
2023/07/07,1445,1.214,1.215,1.213,1.214,263900,320398.00
2023/07/07,1450,1.214,1.214,1.213,1.214,1008000,1223079.00
2023/07/07,1455,1.214,1.214,1.211,1.212,1142200,1385066.00
2023/07/07,1500,1.213,1.215,1.212,1.213,1271900,1543302.00
2023/07/10,0935,1.215,1.218,1.215,1.218,1071400,1302795.00
2023/07/10,0940,1.216,1.218,1.216,1.217,439400,534760.00
2023/07/10,0945,1.217,1.218,1.217,1.217,270700,329510.00
2023/07/10,0950,1.218,1.218,1.217,1.218,237700,289296.00
2023/07/10,0955,1.217,1.217,1.216,1.216,236700,287936.00
2023/07/10,1000,1.217,1.217,1.215,1.216,220000,267497.00
2023/07/10,1005,1.216,1.217,1.216,1.216,727200,884362.00
2023/07/10,1010,1.217,1.217,1.216,1.217,321800,391595.00
2023/07/10,1015,1.217,1.217,1.216,1.216,185300,225372.00
2023/07/10,1020,1.217,1.217,1.215,1.216,620800,754911.00
2023/07/10,1025,1.216,1.217,1.216,1.216,104600,127194.00
2023/07/10,1030,1.216,1.217,1.216,1.217,21700,26402.00
2023/07/10,1035,1.217,1.217,1.216,1.216,40000,48679.00
2023/07/10,1040,1.216,1.217,1.216,1.216,43800,53261.00
2023/07/10,1045,1.216,1.218,1.216,1.217,822800,1001401.00
2023/07/10,1050,1.217,1.218,1.217,1.218,40500,49301.00
2023/07/10,1055,1.218,1.218,1.217,1.217,14000,17052.00
2023/07/10,1100,1.217,1.218,1.217,1.218,12300,14978.00
2023/07/10,1105,1.218,1.218,1.217,1.218,21300,25943.00
2023/07/10,1110,1.218,1.218,1.217,1.218,43600,53103.00
2023/07/10,1115,1.217,1.218,1.217,1.217,30100,36632.00
2023/07/10,1120,1.217,1.218,1.217,1.217,93100,113305.00
2023/07/10,1125,1.217,1.218,1.217,1.218,5200,6333.00
2023/07/10,1130,1.218,1.218,1.217,1.217,138600,168677.00
2023/07/10,1305,1.218,1.218,1.217,1.217,176500,214859.00
2023/07/10,1310,1.218,1.218,1.217,1.218,28300,34469.00
2023/07/10,1315,1.218,1.218,1.217,1.218,11000,13397.00
2023/07/10,1320,1.217,1.218,1.217,1.217,82900,100916.00
2023/07/10,1325,1.217,1.218,1.217,1.217,21300,25943.00
2023/07/10,1330,1.217,1.217,1.217,1.217,6400,7789.00
2023/07/10,1335,1.217,1.218,1.217,1.217,26300,32014.00
2023/07/10,1340,1.218,1.218,1.217,1.217,123600,150437.00
2023/07/10,1345,1.217,1.217,1.216,1.217,1404000,1708572.00
2023/07/10,1350,1.217,1.217,1.215,1.216,378800,460575.00
2023/07/10,1355,1.215,1.216,1.214,1.214,249000,302525.00
2023/07/10,1400,1.215,1.215,1.214,1.214,107000,129921.00
2023/07/10,1405,1.215,1.215,1.213,1.213,366000,444096.00
2023/07/10,1410,1.213,1.214,1.213,1.213,56100,68052.00
2023/07/10,1415,1.214,1.214,1.213,1.214,461300,560017.00
2023/07/10,1420,1.214,1.215,1.214,1.214,286900,348307.00
2023/07/10,1425,1.215,1.215,1.214,1.214,118700,144221.00
2023/07/10,1430,1.215,1.216,1.215,1.216,499900,607403.00
2023/07/10,1435,1.215,1.216,1.215,1.216,13700,16658.00
2023/07/10,1440,1.216,1.216,1.214,1.215,224400,272652.00
2023/07/10,1445,1.215,1.215,1.214,1.215,126200,153289.00
2023/07/10,1450,1.214,1.215,1.213,1.214,726000,881379.00
2023/07/10,1455,1.214,1.215,1.214,1.214,526500,639340.00
2023/07/10,1500,1.215,1.216,1.214,1.216,443900,539419.00
2023/07/11,0935,1.227,1.228,1.226,1.227,1596400,1958788.00
2023/07/11,0940,1.226,1.228,1.226,1.227,1059900,1300455.00
2023/07/11,0945,1.227,1.228,1.227,1.228,186500,228991.00
2023/07/11,0950,1.227,1.228,1.227,1.227,110400,135477.00
2023/07/11,0955,1.228,1.228,1.227,1.227,247200,303323.00
2023/07/11,1000,1.228,1.228,1.227,1.227,31000,38052.00
2023/07/11,1005,1.227,1.229,1.227,1.228,785100,964047.00
2023/07/11,1010,1.228,1.229,1.228,1.228,230200,282689.00
2023/07/11,1015,1.229,1.229,1.228,1.228,54100,66460.00
2023/07/11,1020,1.228,1.229,1.228,1.229,64100,78743.00
2023/07/11,1025,1.228,1.229,1.228,1.228,45200,55526.00
2023/07/11,1030,1.229,1.229,1.228,1.228,47700,58604.00
2023/07/11,1035,1.229,1.229,1.228,1.229,16600,20402.00
2023/07/11,1040,1.229,1.229,1.228,1.229,108400,133220.00
2023/07/11,1045,1.229,1.229,1.228,1.228,27100,33290.00
2023/07/11,1050,1.228,1.229,1.228,1.229,9700,11918.00
2023/07/11,1055,1.229,1.229,1.228,1.229,83300,102376.00
2023/07/11,1100,1.228,1.229,1.228,1.229,68400,84005.00
2023/07/11,1105,1.229,1.229,1.228,1.229,70600,86762.00
2023/07/11,1110,1.228,1.229,1.228,1.229,72000,88429.00
2023/07/11,1115,1.229,1.229,1.228,1.228,73700,90505.00
2023/07/11,1120,1.229,1.229,1.228,1.229,54500,66947.00
2023/07/11,1125,1.229,1.229,1.228,1.228,19900,24446.00
2023/07/11,1130,1.229,1.229,1.228,1.229,9900,12159.00
2023/07/11,1305,1.229,1.229,1.228,1.228,442400,543312.00
2023/07/11,1310,1.228,1.228,1.227,1.228,569000,698687.00
2023/07/11,1315,1.228,1.228,1.227,1.227,60900,74756.00
2023/07/11,1320,1.227,1.229,1.227,1.229,3339200,4100516.00
2023/07/11,1325,1.228,1.229,1.228,1.228,831200,1020741.00
2023/07/11,1330,1.228,1.229,1.228,1.228,226300,277898.00
2023/07/11,1335,1.228,1.229,1.228,1.229,31800,39063.00
2023/07/11,1340,1.228,1.229,1.228,1.228,31600,38836.00
2023/07/11,1345,1.229,1.230,1.228,1.230,744300,914719.00
2023/07/11,1350,1.230,1.231,1.229,1.230,380800,468393.00
2023/07/11,1355,1.230,1.230,1.229,1.230,315600,388188.00
2023/07/11,1400,1.230,1.230,1.229,1.230,9800,12053.00
2023/07/11,1405,1.230,1.230,1.229,1.229,37800,46457.00
2023/07/11,1410,1.229,1.230,1.229,1.230,28900,35525.00
2023/07/11,1415,1.230,1.230,1.230,1.230,845700,1040211.00
2023/07/11,1420,1.231,1.231,1.230,1.231,130400,160520.00
2023/07/11,1425,1.231,1.231,1.231,1.231,44100,54287.00
2023/07/11,1430,1.231,1.232,1.230,1.231,103700,127672.00
2023/07/11,1435,1.232,1.233,1.231,1.233,1049800,1293329.00
2023/07/11,1440,1.232,1.233,1.232,1.233,569800,702556.00
2023/07/11,1445,1.233,1.234,1.232,1.232,2021100,2492186.00
2023/07/11,1450,1.232,1.235,1.232,1.233,1579000,1947649.00
2023/07/11,1455,1.234,1.234,1.232,1.234,1106500,1364861.00
2023/07/11,1500,1.234,1.234,1.232,1.233,598200,737721.00
2023/07/12,0935,1.236,1.239,1.234,1.235,1555900,1923048.00
2023/07/12,0940,1.235,1.235,1.233,1.234,1044600,1289412.00
2023/07/12,0945,1.233,1.234,1.232,1.234,1025100,1263878.00
2023/07/12,0950,1.233,1.234,1.232,1.233,127600,157361.00
2023/07/12,0955,1.233,1.234,1.233,1.234,92200,113714.00
2023/07/12,1000,1.234,1.234,1.232,1.233,588200,725307.00
2023/07/12,1005,1.233,1.233,1.232,1.232,572200,705382.00
2023/07/12,1010,1.233,1.233,1.232,1.233,399800,492868.00
2023/07/12,1015,1.233,1.234,1.233,1.233,108200,133486.00
2023/07/12,1020,1.233,1.234,1.233,1.234,93400,115166.00
2023/07/12,1025,1.234,1.234,1.233,1.234,30100,37133.00
2023/07/12,1030,1.234,1.234,1.233,1.233,312400,385206.00
2023/07/12,1035,1.233,1.234,1.233,1.234,104400,128726.00
2023/07/12,1040,1.233,1.233,1.232,1.232,130400,160656.00
2023/07/12,1045,1.232,1.233,1.232,1.232,6200,7641.00
2023/07/12,1050,1.232,1.234,1.232,1.234,378500,466691.00
2023/07/12,1055,1.232,1.234,1.232,1.233,13400,16521.00
2023/07/12,1100,1.233,1.234,1.233,1.234,140800,173607.00
2023/07/12,1105,1.234,1.234,1.232,1.233,291400,359098.00
2023/07/12,1110,1.232,1.233,1.232,1.233,629900,776557.00
2023/07/12,1115,1.233,1.234,1.233,1.233,352900,435477.00
2023/07/12,1120,1.234,1.235,1.233,1.234,574300,708704.00
2023/07/12,1125,1.234,1.234,1.234,1.234,19900,24557.00
2023/07/12,1130,1.234,1.235,1.234,1.235,69700,86078.00
2023/07/12,1305,1.235,1.237,1.235,1.237,828800,1024030.00
