513050 中概互联网ETF 5分钟线 后复权
日期,时间,开盘,最高,最低,收盘,成交量,成交额
2023/07/06,0935,1.009,1.013,1.009,1.013,39088400,39491836.00
2023/07/06,0940,1.013,1.017,1.011,1.014,37435600,37988412.00
2023/07/06,0945,1.014,1.015,1.011,1.012,19869400,20123172.00
2023/07/06,0950,1.013,1.015,1.012,1.014,18650800,18908058.00
2023/07/06,0955,1.015,1.015,1.013,1.015,23237900,23571960.00
2023/07/06,1000,1.015,1.018,1.015,1.017,31869400,32398008.00
2023/07/06,1005,1.017,1.018,1.015,1.016,18589700,18896684.00
2023/07/06,1010,1.016,1.018,1.015,1.016,18736900,19045912.00
2023/07/06,1015,1.017,1.019,1.016,1.017,24820700,25258766.00
2023/07/06,1020,1.018,1.019,1.016,1.016,21812000,22185904.00
2023/07/06,1025,1.015,1.017,1.014,1.017,17883100,18157996.00
2023/07/06,1030,1.017,1.017,1.015,1.015,16918800,17185544.00
2023/07/06,1035,1.015,1.015,1.013,1.014,14788000,14994741.00
2023/07/06,1040,1.014,1.014,1.011,1.011,24422600,24728274.00
2023/07/06,1045,1.011,1.011,1.007,1.008,54973900,55468624.00
2023/07/06,1050,1.008,1.008,1.005,1.008,29963600,30150610.00
2023/07/06,1055,1.007,1.008,1.005,1.007,20731700,20868048.00
2023/07/06,1100,1.007,1.008,1.006,1.007,6883400,6930246.00
2023/07/06,1105,1.007,1.007,1.005,1.006,25408400,25562772.00
2023/07/06,1110,1.006,1.006,1.004,1.006,21114400,21220410.00
2023/07/06,1115,1.006,1.007,1.005,1.006,10255400,10316629.00
2023/07/06,1120,1.006,1.006,1.004,1.005,12449500,12512485.00
2023/07/06,1125,1.005,1.005,1.002,1.004,24621400,24711588.00
2023/07/06,1130,1.004,1.004,0.998,1.000,56950500,56974324.00
2023/07/06,1305,1.000,1.001,0.999,1.000,32753900,32738018.00
2023/07/06,1310,1.000,1.000,0.999,1.000,18430000,18413772.00
2023/07/06,1315,1.000,1.000,0.999,1.000,11372700,11369001.00
2023/07/06,1320,1.001,1.001,0.999,1.000,23018200,23016544.00
2023/07/06,1325,1.000,1.001,0.999,1.000,11735100,11731104.00
2023/07/06,1330,1.000,1.000,0.998,0.999,24687800,24659132.00
2023/07/06,1335,0.999,1.000,0.998,0.999,17079800,17061208.00
2023/07/06,1340,0.999,1.000,0.998,0.999,38034200,37998296.00
2023/07/06,1345,0.999,1.000,0.998,0.999,16728500,16711443.00
2023/07/06,1350,0.999,0.999,0.997,0.999,32867600,32804232.00
2023/07/06,1355,0.999,1.000,0.998,1.000,5469200,5463270.00
2023/07/06,1400,1.000,1.001,0.999,1.001,9743900,9747190.00
2023/07/06,1405,1.001,1.001,1.000,1.001,11134800,11138976.00
2023/07/06,1410,1.001,1.003,1.000,1.002,17104900,17130618.00
2023/07/06,1415,1.002,1.003,1.001,1.002,4268700,4276660.00
2023/07/06,1420,1.002,1.002,1.001,1.002,3475000,3481504.00
2023/07/06,1425,1.002,1.002,1.000,1.001,7246500,7254944.00
2023/07/06,1430,1.001,1.002,1.000,1.001,10502900,10513608.00
2023/07/06,1435,1.001,1.002,1.000,1.001,4774100,4777552.00
2023/07/06,1440,1.000,1.000,0.999,1.000,14755900,14753593.00
2023/07/06,1445,1.000,1.000,0.999,0.999,3680900,3679833.00
2023/07/06,1450,1.000,1.001,0.999,1.001,11137600,11137841.00
2023/07/06,1455,1.001,1.001,1.000,1.001,3843700,3846409.00
2023/07/06,1500,1.001,1.002,1.000,1.001,20202700,20217352.00
2023/07/07,0935,0.997,0.999,0.996,0.997,53711300,53561520.00
2023/07/07,0940,0.997,0.997,0.992,0.994,66599700,66220896.00
2023/07/07,0945,0.994,0.996,0.991,0.992,43196300,42918728.00
2023/07/07,0950,0.992,0.994,0.992,0.993,26957000,26757658.00
2023/07/07,0955,0.993,0.995,0.992,0.995,22515100,22371144.00
2023/07/07,1000,0.995,0.995,0.992,0.993,32775700,32577174.00
2023/07/07,1005,0.994,0.994,0.993,0.993,19720200,19587866.00
2023/07/07,1010,0.993,0.993,0.991,0.992,32843300,32585812.00
2023/07/07,1015,0.992,0.993,0.991,0.992,10926400,10839389.00
2023/07/07,1020,0.992,0.994,0.992,0.993,7781800,7724698.00
2023/07/07,1025,0.993,0.993,0.991,0.992,17883300,17743252.00
2023/07/07,1030,0.992,0.994,0.992,0.994,8223400,8166421.00
2023/07/07,1035,0.994,0.995,0.993,0.994,9941000,9881552.00
2023/07/07,1040,0.994,0.995,0.993,0.994,4784800,4756505.00
2023/07/07,1045,0.994,0.995,0.993,0.994,20681800,20540424.00
2023/07/07,1050,0.994,0.994,0.992,0.993,9203700,9139431.00
2023/07/07,1055,0.994,0.994,0.993,0.994,3508500,3485244.00
2023/07/07,1100,0.994,0.995,0.993,0.994,9293700,9236712.00
2023/07/07,1105,0.995,0.998,0.994,0.998,21342800,21251426.00
2023/07/07,1110,0.998,0.999,0.996,0.999,28377300,28305348.00
2023/07/07,1115,0.999,1.001,0.998,1.000,40948600,40932992.00
2023/07/07,1120,1.000,1.001,0.998,0.998,10147200,10146059.00
2023/07/07,1125,0.998,0.999,0.997,0.998,13063700,13038121.00
2023/07/07,1130,0.999,0.999,0.997,0.999,4882300,4872904.00
2023/07/07,1305,0.998,1.000,0.997,1.000,50407300,50327616.00
2023/07/07,1310,1.000,1.007,0.999,1.006,82533800,82818056.00
2023/07/07,1315,1.007,1.014,1.006,1.011,98361500,99387792.00
2023/07/07,1320,1.012,1.013,1.008,1.012,65836700,66550056.00
2023/07/07,1325,1.012,1.015,1.011,1.013,65959100,66808744.00
2023/07/07,1330,1.013,1.014,1.009,1.010,37433700,37872736.00
2023/07/07,1335,1.011,1.011,1.009,1.010,17433700,17607412.00
2023/07/07,1340,1.010,1.013,1.010,1.013,26620900,26908836.00
2023/07/07,1345,1.012,1.013,1.011,1.011,17689700,17900924.00
2023/07/07,1350,1.011,1.012,1.009,1.009,16234500,16399551.00
2023/07/07,1355,1.010,1.010,1.008,1.008,17162000,17307372.00
2023/07/07,1400,1.008,1.008,1.005,1.005,22906000,23050472.00
2023/07/07,1405,1.005,1.006,1.003,1.005,29534000,29674828.00
2023/07/07,1410,1.005,1.007,1.004,1.007,16411100,16505336.00
2023/07/07,1415,1.007,1.008,1.006,1.007,12839700,12926454.00
2023/07/07,1420,1.007,1.007,1.004,1.005,15673600,15760825.00
2023/07/07,1425,1.005,1.006,1.004,1.005,10341900,10393240.00
2023/07/07,1430,1.006,1.006,1.004,1.005,7993600,8033285.00
2023/07/07,1435,1.005,1.005,1.003,1.005,16378200,16443637.00
2023/07/07,1440,1.005,1.006,1.004,1.006,4926500,4952026.00
2023/07/07,1445,1.006,1.006,1.004,1.005,13804400,13873829.00
2023/07/07,1450,1.006,1.006,1.005,1.005,4063600,4085093.00
2023/07/07,1455,1.006,1.006,1.004,1.004,8527800,8569082.00
2023/07/07,1500,1.004,1.006,1.004,1.005,12465900,12526813.00
2023/07/10,0935,1.027,1.028,1.022,1.024,154054800,158036432.00
2023/07/10,0940,1.023,1.024,1.018,1.018,43628600,44587272.00
2023/07/10,0945,1.018,1.021,1.018,1.019,37084700,37821300.00
2023/07/10,0950,1.019,1.022,1.019,1.022,34496300,35212396.00
2023/07/10,0955,1.021,1.021,1.018,1.018,28541300,29105728.00
2023/07/10,1000,1.019,1.021,1.018,1.020,24095400,24562148.00
2023/07/10,1005,1.021,1.022,1.019,1.021,22314400,22779520.00
2023/07/10,1010,1.022,1.023,1.021,1.021,26788500,27374698.00
2023/07/10,1015,1.021,1.022,1.019,1.020,16241300,16574013.00
2023/07/10,1020,1.020,1.021,1.020,1.020,11958000,12207760.00
2023/07/10,1025,1.020,1.023,1.020,1.023,21328200,21790880.00
2023/07/10,1030,1.022,1.023,1.020,1.020,12575500,12845587.00
2023/07/10,1035,1.021,1.021,1.019,1.019,9878900,10076541.00
2023/07/10,1040,1.019,1.021,1.019,1.019,12298900,12544653.00
2023/07/10,1045,1.020,1.020,1.018,1.019,19423400,19790574.00
2023/07/10,1050,1.019,1.020,1.017,1.018,30261900,30808528.00
2023/07/10,1055,1.019,1.019,1.018,1.019,13604300,13862567.00
2023/07/10,1100,1.019,1.020,1.018,1.019,8834300,9001992.00
2023/07/10,1105,1.020,1.020,1.019,1.019,18107100,18468984.00
2023/07/10,1110,1.019,1.020,1.018,1.018,9876800,10062875.00
2023/07/10,1115,1.019,1.019,1.018,1.019,7892400,8038780.00
2023/07/10,1120,1.019,1.019,1.017,1.018,9329100,9500540.00
2023/07/10,1125,1.019,1.019,1.016,1.017,19237700,19569416.00
2023/07/10,1130,1.017,1.018,1.016,1.017,7815900,7948326.00
2023/07/10,1305,1.018,1.018,1.016,1.016,16176700,16451445.00
2023/07/10,1310,1.016,1.017,1.015,1.016,15495100,15740903.00
2023/07/10,1315,1.017,1.017,1.013,1.014,24687600,25044904.00
2023/07/10,1320,1.014,1.015,1.013,1.013,13071000,13253535.00
2023/07/10,1325,1.014,1.014,1.013,1.013,15750100,15959397.00
2023/07/10,1330,1.014,1.014,1.011,1.013,15019700,15206761.00
2023/07/10,1335,1.013,1.014,1.012,1.013,10765700,10900834.00
2023/07/10,1340,1.013,1.014,1.012,1.014,10852400,10993383.00
2023/07/10,1345,1.014,1.015,1.013,1.014,15236300,15450890.00
2023/07/10,1350,1.014,1.015,1.013,1.014,12706400,12887481.00
2023/07/10,1355,1.014,1.015,1.012,1.012,15200800,15407094.00
2023/07/10,1400,1.013,1.013,1.012,1.013,9474100,9588688.00
2023/07/10,1405,1.013,1.014,1.012,1.014,5561700,5634266.00
2023/07/10,1410,1.013,1.013,1.010,1.011,18128500,18342582.00
2023/07/10,1415,1.011,1.013,1.010,1.013,7576500,7662663.00
2023/07/10,1420,1.013,1.014,1.012,1.012,8427500,8536989.00
2023/07/10,1425,1.012,1.014,1.012,1.013,6374200,6457200.00
2023/07/10,1430,1.013,1.013,1.012,1.013,3241100,3283129.00
2023/07/10,1435,1.013,1.013,1.011,1.012,7698100,7790092.00
2023/07/10,1440,1.011,1.013,1.011,1.013,6629800,6709253.00
2023/07/10,1445,1.013,1.014,1.012,1.014,6385800,6469275.00
2023/07/10,1450,1.014,1.014,1.013,1.013,2015900,2042487.00
2023/07/10,1455,1.014,1.014,1.012,1.013,9249400,9368654.00
2023/07/10,1500,1.012,1.013,1.012,1.013,15691200,15886826.00
2023/07/11,0935,1.025,1.025,1.020,1.020,89089100,91097192.00
2023/07/11,0940,1.020,1.021,1.018,1.018,29061400,29641200.00
2023/07/11,0945,1.019,1.021,1.018,1.020,30391600,30998732.00
2023/07/11,0950,1.020,1.020,1.018,1.019,17938300,18290052.00
2023/07/11,0955,1.019,1.020,1.018,1.020,21159000,21569080.00
2023/07/11,1000,1.019,1.020,1.018,1.020,16411500,16735171.00
2023/07/11,1005,1.020,1.020,1.019,1.019,6646500,6777955.00
2023/07/11,1010,1.019,1.021,1.019,1.020,13873900,14151131.00
2023/07/11,1015,1.020,1.020,1.019,1.020,4488600,4575132.00
2023/07/11,1020,1.020,1.020,1.019,1.019,11404300,11621414.00
2023/07/11,1025,1.018,1.020,1.018,1.019,18797300,19156956.00
2023/07/11,1030,1.019,1.020,1.018,1.018,6904300,7032742.00
2023/07/11,1035,1.018,1.020,1.018,1.020,6568600,6693303.00
2023/07/11,1040,1.019,1.022,1.019,1.021,30877800,31508456.00
2023/07/11,1045,1.022,1.024,1.022,1.023,47978900,49069520.00
2023/07/11,1050,1.023,1.023,1.022,1.022,11194600,11441879.00
2023/07/11,1055,1.022,1.024,1.022,1.023,13659100,13974195.00
2023/07/11,1100,1.024,1.025,1.023,1.024,28486800,29170094.00
2023/07/11,1105,1.025,1.026,1.024,1.024,44941500,46050788.00
2023/07/11,1110,1.024,1.026,1.024,1.024,13170400,13500029.00
2023/07/11,1115,1.024,1.026,1.024,1.025,17938000,18383732.00
2023/07/11,1120,1.025,1.026,1.024,1.025,12282000,12589171.00
2023/07/11,1125,1.024,1.026,1.024,1.024,13788300,14133819.00
2023/07/11,1130,1.024,1.025,1.023,1.024,16589900,16985914.00
2023/07/11,1305,1.024,1.025,1.023,1.024,24470600,25051560.00
2023/07/11,1310,1.025,1.026,1.023,1.024,31602300,32386712.00
2023/07/11,1315,1.023,1.024,1.021,1.021,17447100,17839548.00
2023/07/11,1320,1.022,1.022,1.021,1.022,8845000,9031330.00
2023/07/11,1325,1.022,1.022,1.020,1.022,14218000,14516921.00
2023/07/11,1330,1.021,1.023,1.021,1.022,14340700,14656319.00
2023/07/11,1335,1.022,1.023,1.022,1.023,4327700,4423047.00
2023/07/11,1340,1.023,1.024,1.022,1.023,10659700,10904832.00
2023/07/11,1345,1.023,1.024,1.022,1.022,1998900,2044676.00
2023/07/11,1350,1.022,1.023,1.021,1.023,10332700,10559448.00
2023/07/11,1355,1.022,1.023,1.021,1.021,4680600,4783937.00
2023/07/11,1400,1.022,1.023,1.022,1.022,2512200,2568297.00
2023/07/11,1405,1.023,1.023,1.022,1.022,4035900,4127469.00
2023/07/11,1410,1.023,1.023,1.021,1.021,11460300,11713016.00
2023/07/11,1415,1.021,1.023,1.021,1.023,6004700,6135730.00
2023/07/11,1420,1.022,1.022,1.021,1.021,1672700,1709140.00
2023/07/11,1425,1.021,1.022,1.021,1.021,973200,993947.00
2023/07/11,1430,1.022,1.022,1.021,1.022,1589500,1623749.00
2023/07/11,1435,1.022,1.022,1.021,1.022,2818400,2879805.00
2023/07/11,1440,1.022,1.022,1.021,1.021,1635500,1670176.00
2023/07/11,1445,1.021,1.022,1.021,1.021,5135100,5243899.00
2023/07/11,1450,1.021,1.022,1.021,1.021,11642300,11887922.00
2023/07/11,1455,1.022,1.022,1.021,1.022,6811100,6957861.00
2023/07/11,1500,1.021,1.022,1.021,1.022,14321500,14633122.00
2023/07/12,0935,1.028,1.029,1.024,1.025,61403300,63032128.00
2023/07/12,0940,1.025,1.027,1.024,1.026,50938000,52266336.00
2023/07/12,0945,1.027,1.035,1.027,1.034,108153300,111506848.00
2023/07/12,0950,1.035,1.037,1.032,1.035,97891100,101276944.00
2023/07/12,0955,1.035,1.036,1.033,1.034,26612000,27527408.00
