513080 法国CAC40ETF 5分钟线 后复权
日期,时间,开盘,最高,最低,收盘,成交量,成交额
2023/07/06,0935,1.510,1.510,1.508,1.508,439400,662917.00
2023/07/06,0940,1.509,1.509,1.508,1.508,154700,233338.00
2023/07/06,0945,1.509,1.509,1.508,1.509,22400,33798.00
2023/07/06,0950,1.509,1.509,1.508,1.508,44600,67262.00
2023/07/06,0955,1.509,1.509,1.507,1.507,119700,180453.00
2023/07/06,1000,1.508,1.508,1.507,1.507,120200,181194.00
2023/07/06,1005,1.508,1.508,1.507,1.508,50900,76723.00
2023/07/06,1010,1.508,1.509,1.508,1.509,155800,234958.00
2023/07/06,1015,1.508,1.509,1.508,1.509,23600,35606.00
2023/07/06,1020,1.509,1.509,1.508,1.508,43500,65598.00
2023/07/06,1025,1.508,1.509,1.508,1.508,1300,1962.00
2023/07/06,1030,1.509,1.509,1.508,1.508,19500,29407.00
2023/07/06,1035,1.508,1.509,1.508,1.509,9500,14334.00
2023/07/06,1040,1.508,1.509,1.508,1.509,38500,58062.00
2023/07/06,1045,1.508,1.509,1.508,1.509,15700,23677.00
2023/07/06,1050,1.509,1.509,1.508,1.509,500,754.00
2023/07/06,1055,1.509,1.509,1.508,1.508,1700,2564.00
2023/07/06,1100,1.509,1.509,1.507,1.507,197700,298093.00
2023/07/06,1105,1.507,1.508,1.507,1.508,5000,7536.00
2023/07/06,1110,1.506,1.508,1.506,1.507,784400,1181442.00
2023/07/06,1115,1.506,1.506,1.505,1.506,72300,108863.00
2023/07/06,1120,1.506,1.506,1.498,1.503,544800,818941.00
2023/07/06,1125,1.503,1.505,1.503,1.503,87800,132004.00
2023/07/06,1130,1.503,1.503,1.501,1.503,103500,155483.00
2023/07/06,1305,1.504,1.504,1.499,1.500,261300,392106.00
2023/07/06,1310,1.500,1.500,1.499,1.500,190500,285561.00
2023/07/06,1315,1.500,1.500,1.500,1.500,38300,57450.00
2023/07/06,1320,1.500,1.500,1.499,1.500,109400,164099.00
2023/07/06,1325,1.500,1.500,1.499,1.499,29300,43923.00
2023/07/06,1330,1.499,1.499,1.499,1.499,8500,12741.00
2023/07/06,1335,1.500,1.500,1.499,1.500,114000,170890.00
2023/07/06,1340,1.500,1.500,1.499,1.499,46500,69704.00
2023/07/06,1345,1.499,1.499,1.498,1.498,101400,151907.00
2023/07/06,1350,1.498,1.498,1.496,1.497,95900,143585.00
2023/07/06,1355,1.497,1.497,1.496,1.497,55400,82885.00
2023/07/06,1400,1.497,1.499,1.497,1.499,194100,290649.00
2023/07/06,1405,1.499,1.500,1.498,1.498,200500,300584.00
2023/07/06,1410,1.498,1.500,1.498,1.500,73100,109594.00
2023/07/06,1415,1.500,1.500,1.499,1.499,90700,136006.00
2023/07/06,1420,1.499,1.500,1.497,1.500,358100,536556.00
2023/07/06,1425,1.500,1.501,1.500,1.500,36500,54752.00
2023/07/06,1430,1.501,1.501,1.501,1.501,2300,3452.00
2023/07/06,1435,1.501,1.501,1.498,1.498,254800,382097.00
2023/07/06,1440,1.499,1.499,1.496,1.497,232200,347759.00
2023/07/06,1445,1.498,1.498,1.497,1.498,287100,429909.00
2023/07/06,1450,1.499,1.499,1.499,1.499,141200,211606.00
2023/07/06,1455,1.499,1.500,1.498,1.499,106300,159371.00
2023/07/06,1500,1.499,1.500,1.498,1.500,228400,342449.00
2023/07/07,0935,1.471,1.474,1.471,1.472,1097300,1614729.00
2023/07/07,0940,1.472,1.474,1.471,1.474,236400,348081.00
2023/07/07,0945,1.474,1.474,1.473,1.474,76400,112553.00
2023/07/07,0950,1.473,1.473,1.472,1.472,305600,450076.00
2023/07/07,0955,1.473,1.473,1.472,1.473,129000,189979.00
