513100 纳指ETF 5分钟线 后复权
日期,时间,开盘,最高,最低,收盘,成交量,成交额
2023/07/06,0935,1.115,1.116,1.114,1.115,50525000,56335296.00
2023/07/06,0940,1.115,1.116,1.115,1.115,6637500,7401995.00
2023/07/06,0945,1.116,1.116,1.114,1.115,3812800,4251203.00
2023/07/06,0950,1.115,1.115,1.114,1.115,1450700,1616478.00
2023/07/06,0955,1.115,1.115,1.114,1.114,3059900,3411373.00
2023/07/06,1000,1.114,1.115,1.114,1.114,3756400,4185247.00
2023/07/06,1005,1.115,1.115,1.114,1.115,3703100,4127673.00
2023/07/06,1010,1.114,1.115,1.114,1.114,1567700,1747595.00
2023/07/06,1015,1.114,1.115,1.114,1.115,7487100,8345316.00
2023/07/06,1020,1.115,1.115,1.114,1.114,600700,669357.00
2023/07/06,1025,1.115,1.115,1.114,1.114,1308700,1458662.00
2023/07/06,1030,1.115,1.115,1.114,1.114,212000,236300.00
2023/07/06,1035,1.115,1.115,1.114,1.115,1183400,1319416.00
2023/07/06,1040,1.115,1.115,1.114,1.115,989500,1103255.00
2023/07/06,1045,1.114,1.115,1.114,1.114,510700,569194.00
2023/07/06,1050,1.114,1.115,1.114,1.114,802000,893956.00
2023/07/06,1055,1.115,1.115,1.114,1.115,1630000,1816916.00
2023/07/06,1100,1.115,1.115,1.114,1.114,3542400,3949760.00
2023/07/06,1105,1.115,1.115,1.114,1.114,332700,370874.00
2023/07/06,1110,1.114,1.115,1.114,1.115,1259400,1403246.00
2023/07/06,1115,1.115,1.115,1.113,1.113,22140200,24664316.00
2023/07/06,1120,1.114,1.114,1.113,1.114,20090900,22380110.00
2023/07/06,1125,1.114,1.115,1.114,1.114,6374800,7101624.00
2023/07/06,1130,1.113,1.114,1.113,1.113,9781600,10888738.00
2023/07/06,1305,1.113,1.113,1.111,1.111,21825000,24274422.00
2023/07/06,1310,1.111,1.112,1.111,1.111,4291300,4767783.00
2023/07/06,1315,1.111,1.112,1.111,1.112,4942900,5493367.00
2023/07/06,1320,1.112,1.112,1.111,1.112,3477800,3865304.00
2023/07/06,1325,1.112,1.112,1.111,1.112,1534800,1705375.00
2023/07/06,1330,1.111,1.112,1.111,1.111,3145700,3495557.00
2023/07/06,1335,1.112,1.112,1.111,1.111,1774300,1971611.00
2023/07/06,1340,1.111,1.112,1.110,1.111,11599400,12884746.00
2023/07/06,1345,1.111,1.111,1.110,1.111,8852500,9829444.00
2023/07/06,1350,1.111,1.111,1.110,1.110,1926100,2138067.00
2023/07/06,1355,1.111,1.111,1.110,1.111,1612600,1790560.00
2023/07/06,1400,1.111,1.112,1.110,1.111,17423700,19357236.00
2023/07/06,1405,1.112,1.112,1.111,1.112,8257800,9175200.00
2023/07/06,1410,1.112,1.112,1.111,1.111,2858900,3178143.00
2023/07/06,1415,1.111,1.112,1.111,1.112,3135000,3483960.00
2023/07/06,1420,1.111,1.112,1.111,1.111,2278800,2531830.00
2023/07/06,1425,1.111,1.112,1.110,1.111,20578300,22862730.00
2023/07/06,1430,1.110,1.111,1.110,1.110,1681200,1866944.00
2023/07/06,1435,1.111,1.111,1.110,1.110,1509400,1675734.00
2023/07/06,1440,1.111,1.111,1.110,1.111,2493500,2768335.00
2023/07/06,1445,1.111,1.111,1.109,1.110,14749200,16371160.00
2023/07/06,1450,1.110,1.110,1.109,1.109,4543400,5040371.00
2023/07/06,1455,1.110,1.110,1.109,1.110,22720800,25216472.00
