513180 恒生科技指数ETF 5分钟线 后复权
日期,时间,开盘,最高,最低,收盘,成交量,成交额
2023/07/06,0935,0.545,0.549,0.544,0.548,209090700,114218656.00
2023/07/06,0940,0.548,0.551,0.548,0.549,156320500,85891560.00
2023/07/06,0945,0.549,0.549,0.547,0.548,83034700,45506284.00
2023/07/06,0950,0.548,0.550,0.547,0.550,107155400,58835384.00
2023/07/06,0955,0.550,0.551,0.548,0.551,111441600,61266408.00
2023/07/06,1000,0.551,0.553,0.550,0.552,125655500,69311080.00
2023/07/06,1005,0.552,0.553,0.551,0.552,76510200,42207588.00
2023/07/06,1010,0.551,0.553,0.550,0.552,111029200,61245952.00
2023/07/06,1015,0.552,0.554,0.551,0.553,125065500,69147352.00
2023/07/06,1020,0.553,0.554,0.551,0.552,75688100,41809948.00
2023/07/06,1025,0.552,0.552,0.550,0.551,44334600,24429072.00
2023/07/06,1030,0.551,0.552,0.550,0.551,39497200,21763204.00
2023/07/06,1035,0.551,0.551,0.549,0.549,67294100,37010456.00
2023/07/06,1040,0.549,0.549,0.547,0.548,96024100,52671096.00
2023/07/06,1045,0.548,0.548,0.545,0.546,165103800,90222816.00
2023/07/06,1050,0.546,0.546,0.543,0.545,195165200,106225064.00
2023/07/06,1055,0.545,0.545,0.544,0.545,67939100,36993436.00
2023/07/06,1100,0.545,0.545,0.543,0.543,126518600,68765608.00
2023/07/06,1105,0.544,0.544,0.542,0.542,66680900,36191684.00
2023/07/06,1110,0.542,0.543,0.541,0.543,132851000,72078128.00
2023/07/06,1115,0.543,0.543,0.542,0.543,28452300,15431670.00
2023/07/06,1120,0.542,0.542,0.541,0.541,78198500,42369764.00
2023/07/06,1125,0.542,0.542,0.540,0.540,180377700,97560968.00
2023/07/06,1130,0.540,0.541,0.536,0.537,189051300,101784320.00
2023/07/06,1305,0.537,0.539,0.536,0.538,120519600,64770848.00
2023/07/06,1310,0.538,0.538,0.537,0.537,102824900,55223948.00
2023/07/06,1315,0.538,0.538,0.537,0.538,37886100,20359396.00
2023/07/06,1320,0.538,0.539,0.537,0.538,146100800,78595584.00
2023/07/06,1325,0.538,0.539,0.537,0.539,63036600,33921308.00
2023/07/06,1330,0.539,0.539,0.536,0.536,67452400,36228184.00
2023/07/06,1335,0.537,0.537,0.536,0.537,23201700,12441860.00
2023/07/06,1340,0.537,0.538,0.536,0.536,125847700,67515880.00
2023/07/06,1345,0.536,0.537,0.535,0.536,90138500,48317496.00
2023/07/06,1350,0.536,0.536,0.534,0.536,88648100,47456508.00
2023/07/06,1355,0.536,0.537,0.535,0.537,16397900,8796192.00
2023/07/06,1400,0.537,0.538,0.536,0.538,38676600,20780738.00
2023/07/06,1405,0.538,0.538,0.537,0.538,60027700,32286540.00
2023/07/06,1410,0.538,0.539,0.537,0.539,48334000,26010760.00
2023/07/06,1415,0.539,0.539,0.538,0.539,9766500,5263670.00
2023/07/06,1420,0.539,0.539,0.538,0.539,15717500,8470502.00
2023/07/06,1425,0.539,0.539,0.537,0.538,56757300,30536110.00
2023/07/06,1430,0.537,0.539,0.537,0.538,54589100,29369996.00
2023/07/06,1435,0.538,0.538,0.536,0.537,50886300,27331516.00
2023/07/06,1440,0.536,0.537,0.536,0.537,29897000,16053299.00
2023/07/06,1445,0.537,0.537,0.536,0.537,12783700,6861279.00
2023/07/06,1450,0.537,0.537,0.536,0.537,75212000,40377364.00
2023/07/06,1455,0.537,0.538,0.536,0.538,67332900,36158780.00
2023/07/06,1500,0.537,0.539,0.537,0.539,71225800,38349980.00
2023/07/07,0935,0.536,0.537,0.534,0.535,175683100,94075760.00
2023/07/07,0940,0.534,0.534,0.529,0.530,272894200,145082560.00
2023/07/07,0945,0.531,0.533,0.529,0.530,153596500,81511040.00
2023/07/07,0950,0.529,0.531,0.529,0.531,104174800,55223588.00
2023/07/07,0955,0.531,0.532,0.529,0.531,92241000,48909020.00
2023/07/07,1000,0.531,0.532,0.529,0.530,63563400,33702072.00
2023/07/07,1005,0.530,0.530,0.529,0.529,105504200,55863792.00
2023/07/07,1010,0.528,0.530,0.527,0.528,144376300,76261880.00
2023/07/07,1015,0.528,0.529,0.527,0.528,72929500,38508528.00
2023/07/07,1020,0.528,0.530,0.527,0.529,81016300,42826124.00
2023/07/07,1025,0.530,0.530,0.528,0.530,43684200,23107816.00
2023/07/07,1030,0.529,0.530,0.529,0.530,40161200,21250420.00
2023/07/07,1035,0.530,0.531,0.529,0.530,75718900,40132952.00
2023/07/07,1040,0.530,0.531,0.529,0.531,55328700,29323932.00
2023/07/07,1045,0.531,0.531,0.529,0.529,42560900,22524120.00
2023/07/07,1050,0.529,0.530,0.528,0.529,65805000,34812372.00
2023/07/07,1055,0.529,0.530,0.529,0.530,20322400,10753237.00
2023/07/07,1100,0.530,0.531,0.529,0.531,51400600,27247572.00
2023/07/07,1105,0.531,0.533,0.530,0.533,112406300,59731216.00
2023/07/07,1110,0.532,0.533,0.531,0.533,73754000,39247256.00
2023/07/07,1115,0.533,0.534,0.532,0.533,116183400,61927592.00
2023/07/07,1120,0.533,0.533,0.532,0.532,62021000,33054932.00
2023/07/07,1125,0.532,0.533,0.531,0.531,38819100,20650196.00
2023/07/07,1130,0.531,0.533,0.531,0.533,30395300,16163565.00
2023/07/07,1305,0.532,0.533,0.531,0.532,197167700,104731872.00
2023/07/07,1310,0.533,0.536,0.533,0.536,188581500,100794232.00
2023/07/07,1315,0.536,0.540,0.536,0.538,303206700,163030128.00
2023/07/07,1320,0.539,0.540,0.536,0.538,255827900,137615008.00
2023/07/07,1325,0.538,0.541,0.537,0.538,189312300,101983568.00
2023/07/07,1330,0.538,0.539,0.536,0.537,67912800,36513292.00
2023/07/07,1335,0.537,0.537,0.536,0.537,78610200,42174444.00
2023/07/07,1340,0.537,0.539,0.536,0.539,103823600,55780976.00
2023/07/07,1345,0.539,0.539,0.537,0.538,116922400,62905340.00
2023/07/07,1350,0.538,0.539,0.536,0.537,80054500,43014440.00
2023/07/07,1355,0.537,0.537,0.535,0.535,59870900,32088012.00
2023/07/07,1400,0.535,0.536,0.534,0.535,82500300,44133396.00
2023/07/07,1405,0.535,0.535,0.534,0.534,85039000,45437832.00
2023/07/07,1410,0.534,0.536,0.534,0.536,32439800,17361036.00
2023/07/07,1415,0.536,0.536,0.535,0.535,18295200,9805234.00
2023/07/07,1420,0.536,0.536,0.534,0.534,39823700,21311504.00
2023/07/07,1425,0.535,0.535,0.533,0.535,60849500,32497886.00
2023/07/07,1430,0.535,0.535,0.533,0.534,99843900,53323584.00
2023/07/07,1435,0.534,0.535,0.533,0.534,60915600,32525208.00
2023/07/07,1440,0.534,0.536,0.534,0.536,45710000,24443570.00
2023/07/07,1445,0.535,0.535,0.534,0.535,26911800,14392617.00
2023/07/07,1450,0.535,0.535,0.534,0.535,14083600,7531925.00
2023/07/07,1455,0.535,0.535,0.533,0.534,68702100,36687516.00
2023/07/07,1500,0.534,0.535,0.534,0.535,45638900,24379600.00
2023/07/10,0935,0.546,0.548,0.544,0.544,378962400,206917056.00
2023/07/10,0940,0.545,0.546,0.542,0.542,124804200,67939152.00
2023/07/10,0945,0.543,0.544,0.541,0.541,147023000,79768720.00
2023/07/10,0950,0.541,0.544,0.541,0.543,177483800,96295896.00
2023/07/10,0955,0.543,0.543,0.541,0.542,67958900,36835268.00
2023/07/10,1000,0.542,0.543,0.541,0.543,43950000,23803916.00
2023/07/10,1005,0.543,0.544,0.542,0.544,84016300,45637292.00
2023/07/10,1010,0.544,0.545,0.542,0.543,99306500,54002464.00
2023/07/10,1015,0.543,0.544,0.542,0.542,97730100,53014040.00
2023/07/10,1020,0.542,0.544,0.542,0.542,68243700,37058188.00
2023/07/10,1025,0.543,0.544,0.542,0.544,62333100,33858864.00
2023/07/10,1030,0.544,0.544,0.542,0.542,63498700,34432536.00
2023/07/10,1035,0.542,0.542,0.541,0.542,32778900,17753236.00
2023/07/10,1040,0.541,0.542,0.540,0.540,66207300,35818872.00
2023/07/10,1045,0.541,0.541,0.539,0.540,74761200,40372020.00
2023/07/10,1050,0.539,0.541,0.539,0.541,29376500,15864364.00
2023/07/10,1055,0.541,0.542,0.540,0.540,63337900,34266020.00
2023/07/10,1100,0.541,0.542,0.540,0.541,83541100,45200176.00
2023/07/10,1105,0.541,0.542,0.541,0.542,13894400,7527761.00
2023/07/10,1110,0.541,0.542,0.540,0.541,63322200,34255480.00
2023/07/10,1115,0.541,0.541,0.539,0.540,67393200,36391776.00
