515790 光伏ETF 5分钟线 后复权
日期,时间,开盘,最高,最低,收盘,成交量,成交额
2023/07/06,0935,1.213,1.220,1.212,1.216,16380400,19910404.00
2023/07/06,0940,1.217,1.219,1.207,1.208,13483700,16359546.00
2023/07/06,0945,1.207,1.210,1.206,1.208,24068500,29079868.00
2023/07/06,0950,1.208,1.214,1.207,1.213,7421100,8986734.00
2023/07/06,0955,1.213,1.213,1.209,1.210,15916200,19288888.00
2023/07/06,1000,1.210,1.216,1.208,1.215,10892000,13203564.00
2023/07/06,1005,1.216,1.217,1.213,1.217,10089400,12255439.00
2023/07/06,1010,1.217,1.217,1.214,1.215,13525400,16441238.00
2023/07/06,1015,1.216,1.217,1.213,1.214,12621100,15335334.00
2023/07/06,1020,1.213,1.213,1.210,1.212,8272400,10024758.00
2023/07/06,1025,1.212,1.212,1.210,1.211,9784800,11847011.00
2023/07/06,1030,1.211,1.216,1.211,1.216,18516300,22471000.00
2023/07/06,1035,1.215,1.219,1.215,1.217,27347500,33278196.00
2023/07/06,1040,1.218,1.219,1.216,1.219,7579700,9229656.00
2023/07/06,1045,1.219,1.219,1.215,1.215,9902400,12049417.00
2023/07/06,1050,1.216,1.216,1.213,1.215,12888000,15646261.00
2023/07/06,1055,1.215,1.215,1.212,1.214,5958700,7231827.00
2023/07/06,1100,1.213,1.214,1.212,1.213,8735200,10594410.00
2023/07/06,1105,1.213,1.214,1.211,1.212,4119200,4993482.00
2023/07/06,1110,1.212,1.213,1.211,1.212,2303800,2792071.00
2023/07/06,1115,1.212,1.213,1.211,1.212,1750900,2121640.00
2023/07/06,1120,1.212,1.213,1.209,1.212,10967600,13279764.00
2023/07/06,1125,1.212,1.214,1.211,1.211,3547600,4298857.00
2023/07/06,1130,1.211,1.212,1.209,1.211,5567600,6736244.00
2023/07/06,1305,1.211,1.211,1.209,1.210,6551500,7924459.00
2023/07/06,1310,1.210,1.210,1.208,1.210,4126300,4989698.00
2023/07/06,1315,1.209,1.210,1.208,1.210,5058700,6112117.00
2023/07/06,1320,1.210,1.210,1.206,1.207,7594500,9171266.00
2023/07/06,1325,1.206,1.208,1.206,1.208,4954000,5979743.00
2023/07/06,1330,1.207,1.208,1.206,1.207,3133200,3779602.00
2023/07/06,1335,1.207,1.208,1.206,1.208,3033700,3660990.00
2023/07/06,1340,1.208,1.209,1.207,1.207,3106400,3752072.00
2023/07/06,1345,1.207,1.208,1.206,1.206,1841200,2222287.00
2023/07/06,1350,1.207,1.207,1.205,1.207,5171700,6236400.00
2023/07/06,1355,1.207,1.208,1.206,1.208,1840700,2221146.00
2023/07/06,1400,1.207,1.210,1.206,1.210,5149300,6220980.00
2023/07/06,1405,1.210,1.211,1.208,1.211,6795500,8219361.00
2023/07/06,1410,1.211,1.212,1.209,1.209,9332000,11299428.00
2023/07/06,1415,1.209,1.211,1.208,1.211,3740700,4527047.00
2023/07/06,1420,1.211,1.211,1.209,1.209,1983500,2400133.00
2023/07/06,1425,1.209,1.210,1.208,1.209,6304700,7622499.00
2023/07/06,1430,1.209,1.210,1.209,1.209,2063000,2494489.00
2023/07/06,1435,1.210,1.211,1.209,1.210,4430500,5360901.00
2023/07/06,1440,1.209,1.210,1.208,1.209,6634200,8019852.00
2023/07/06,1445,1.210,1.210,1.208,1.210,9372900,11335673.00
2023/07/06,1450,1.210,1.211,1.209,1.211,7629300,9231422.00
2023/07/06,1455,1.211,1.212,1.210,1.212,7148100,8656370.00
2023/07/06,1500,1.211,1.214,1.211,1.213,11349300,13759380.00
2023/07/07,0935,1.206,1.209,1.202,1.205,22295100,26867908.00
2023/07/07,0940,1.205,1.208,1.201,1.203,17836000,21472798.00
2023/07/07,0945,1.203,1.207,1.200,1.201,42390100,50992072.00
2023/07/07,0950,1.201,1.208,1.201,1.203,21148600,25456060.00
2023/07/07,0955,1.202,1.207,1.202,1.206,7392900,8908840.00
2023/07/07,1000,1.206,1.207,1.201,1.203,16789000,20213564.00
2023/07/07,1005,1.203,1.204,1.201,1.202,16262300,19559636.00
2023/07/07,1010,1.202,1.203,1.199,1.199,13208300,15856485.00
2023/07/07,1015,1.199,1.201,1.198,1.199,19996300,23964596.00
2023/07/07,1020,1.199,1.199,1.197,1.198,9274000,11110643.00
2023/07/07,1025,1.199,1.199,1.196,1.199,17261400,20666450.00
2023/07/07,1030,1.199,1.201,1.198,1.200,15434500,18512556.00
2023/07/07,1035,1.200,1.200,1.198,1.200,2317100,2778518.00
2023/07/07,1040,1.199,1.199,1.194,1.194,11583400,13859488.00
2023/07/07,1045,1.195,1.195,1.194,1.195,3673900,4388728.00
2023/07/07,1050,1.195,1.196,1.194,1.196,4130400,4934376.00
2023/07/07,1055,1.195,1.195,1.193,1.195,2459900,2938031.00
2023/07/07,1100,1.195,1.196,1.194,1.195,1410600,1685981.00
2023/07/07,1105,1.195,1.198,1.195,1.198,2220400,2656762.00
2023/07/07,1110,1.198,1.200,1.197,1.199,5761500,6900865.00
2023/07/07,1115,1.199,1.200,1.197,1.197,19888400,23827846.00
2023/07/07,1120,1.198,1.198,1.195,1.196,4841200,5792668.00
2023/07/07,1125,1.196,1.196,1.194,1.195,4169500,4982004.00
2023/07/07,1130,1.195,1.196,1.194,1.195,1082800,1293655.00
2023/07/07,1305,1.194,1.195,1.192,1.192,8380900,10001129.00
