518880 黄金ETF 5分钟线 后复权
日期,时间,开盘,最高,最低,收盘,成交量,成交额
2023/07/06,0935,4.365,4.365,4.362,4.363,1555400,6787314.00
2023/07/06,0940,4.363,4.364,4.362,4.363,851300,3714119.00
2023/07/06,0945,4.363,4.364,4.362,4.363,1386200,6047372.00
2023/07/06,0950,4.362,4.363,4.361,4.361,2139200,9331183.00
2023/07/06,0955,4.362,4.363,4.361,4.363,1731700,7554031.00
2023/07/06,1000,4.363,4.364,4.362,4.363,1592300,6947258.00
2023/07/06,1005,4.364,4.364,4.362,4.362,1303700,5687640.00
2023/07/06,1010,4.362,4.363,4.362,4.362,749500,3269409.00
2023/07/06,1015,4.362,4.363,4.362,4.362,603500,2632484.00
2023/07/06,1020,4.362,4.363,4.362,4.362,543900,2372492.00
2023/07/06,1025,4.362,4.363,4.362,4.362,762900,3327780.00
2023/07/06,1030,4.362,4.363,4.362,4.362,599500,2615044.00
2023/07/06,1035,4.363,4.364,4.363,4.364,1750400,7636996.00
2023/07/06,1040,4.364,4.364,4.363,4.363,1377000,6008510.00
2023/07/06,1045,4.364,4.364,4.363,4.363,629500,2746578.00
2023/07/06,1050,4.363,4.365,4.363,4.364,2015800,8796593.00
2023/07/06,1055,4.364,4.364,4.363,4.363,3328300,14524052.00
2023/07/06,1100,4.363,4.364,4.363,4.364,1653400,7214876.00
2023/07/06,1105,4.364,4.365,4.363,4.365,851400,3715464.00
2023/07/06,1110,4.364,4.365,4.363,4.363,3027200,13210361.00
2023/07/06,1115,4.364,4.364,4.363,4.363,699400,3051524.00
2023/07/06,1120,4.363,4.364,4.363,4.363,886800,3869121.00
2023/07/06,1125,4.364,4.364,4.363,4.363,1762500,7691163.00
2023/07/06,1130,4.364,4.364,4.363,4.364,3576100,15605868.00
2023/07/06,1305,4.364,4.364,4.363,4.364,717200,3129611.00
2023/07/06,1310,4.364,4.365,4.363,4.363,863700,3769212.00
2023/07/06,1315,4.364,4.364,4.363,4.364,1132300,4941350.00
2023/07/06,1320,4.364,4.365,4.363,4.364,2549800,11127242.00
2023/07/06,1325,4.363,4.365,4.363,4.364,2054600,8966279.00
2023/07/06,1330,4.364,4.365,4.364,4.364,242900,1060154.00
2023/07/06,1335,4.364,4.367,4.364,4.367,3641300,15897615.00
2023/07/06,1340,4.366,4.368,4.366,4.367,3899700,17029450.00
2023/07/06,1345,4.367,4.368,4.367,4.368,3735000,16313568.00
2023/07/06,1350,4.368,4.369,4.366,4.367,2991200,13063470.00
2023/07/06,1355,4.367,4.368,4.366,4.366,1182700,5164838.00
2023/07/06,1400,4.366,4.367,4.366,4.367,255000,1113546.00
2023/07/06,1405,4.367,4.367,4.365,4.365,1065500,4651908.00
2023/07/06,1410,4.366,4.366,4.364,4.365,310100,1353540.00
2023/07/06,1415,4.365,4.365,4.364,4.365,485300,2118296.00
2023/07/06,1420,4.364,4.366,4.364,4.366,1110600,4847806.00
2023/07/06,1425,4.365,4.366,4.365,4.366,187300,817613.00
2023/07/06,1430,4.366,4.366,4.365,4.366,1732100,7561836.00
2023/07/06,1435,4.366,4.367,4.365,4.366,2515800,10983843.00
2023/07/06,1440,4.366,4.366,4.365,4.365,1272700,5556149.00
2023/07/06,1445,4.366,4.367,4.365,4.367,1460400,6376623.00
2023/07/06,1450,4.367,4.368,4.366,4.367,5807500,25360036.00
2023/07/06,1455,4.367,4.367,4.365,4.366,2125000,9278677.00
2023/07/06,1500,4.366,4.366,4.364,4.365,760100,3317840.00
2023/07/07,0935,4.345,4.354,4.345,4.346,2193200,9532740.00
2023/07/07,0940,4.347,4.350,4.347,4.349,2937500,12773363.00
2023/07/07,0945,4.349,4.349,4.347,4.347,1130200,4913809.00
2023/07/07,0950,4.348,4.348,4.347,4.348,806500,3506129.00
2023/07/07,0955,4.347,4.348,4.347,4.347,348600,1515446.00
2023/07/07,1000,4.348,4.348,4.347,4.347,786800,3420265.00
2023/07/07,1005,4.347,4.348,4.346,4.347,2299300,9995490.00
2023/07/07,1010,4.348,4.349,4.347,4.348,899800,3912047.00
2023/07/07,1015,4.348,4.350,4.348,4.348,2162800,9405884.00
2023/07/07,1020,4.348,4.349,4.348,4.348,976100,4244103.00
2023/07/07,1025,4.349,4.349,4.348,4.349,502500,2184899.00
2023/07/07,1030,4.348,4.349,4.347,4.349,1187600,5163664.00
2023/07/07,1035,4.348,4.350,4.348,4.349,2884100,12542812.00
2023/07/07,1040,4.350,4.350,4.349,4.349,477100,2075014.00
2023/07/07,1045,4.349,4.350,4.349,4.350,647000,2814439.00
2023/07/07,1050,4.350,4.350,4.349,4.350,449300,1954099.00
2023/07/07,1055,4.349,4.350,4.349,4.349,1248200,5429245.00
2023/07/07,1100,4.349,4.351,4.349,4.351,1828400,7953339.00
2023/07/07,1105,4.351,4.352,4.350,4.352,2765300,12032750.00
2023/07/07,1110,4.352,4.352,4.351,4.352,1643300,7151437.00
2023/07/07,1115,4.353,4.353,4.352,4.353,963100,4192282.00
2023/07/07,1120,4.353,4.353,4.352,4.353,637600,2775408.00
2023/07/07,1125,4.353,4.353,4.352,4.353,1726300,7514330.00
2023/07/07,1130,4.353,4.353,4.352,4.353,1170000,5092884.00
2023/07/07,1305,4.353,4.355,4.353,4.354,182300,793824.00
2023/07/07,1310,4.355,4.355,4.354,4.355,1125900,4903288.00
2023/07/07,1315,4.355,4.355,4.354,4.354,944000,4110809.00
2023/07/07,1320,4.354,4.355,4.353,4.354,3387600,14750012.00
2023/07/07,1325,4.355,4.355,4.354,4.354,769100,3349414.00
2023/07/07,1330,4.355,4.355,4.354,4.355,1987800,8656013.00
2023/07/07,1335,4.354,4.355,4.353,4.355,2553700,11118773.00
2023/07/07,1340,4.355,4.358,4.355,4.355,2444200,10647026.00
2023/07/07,1345,4.356,4.360,4.355,4.358,2073800,9036063.00
2023/07/07,1350,4.358,4.358,4.355,4.357,1855600,8084422.00
2023/07/07,1355,4.356,4.357,4.355,4.356,2623100,11426700.00
2023/07/07,1400,4.356,4.359,4.356,4.358,2152100,9376239.00
2023/07/07,1405,4.357,4.358,4.356,4.357,1461200,6366734.00
2023/07/07,1410,4.357,4.358,4.357,4.357,1270600,5536706.00
2023/07/07,1415,4.358,4.358,4.357,4.358,287600,1253345.00
2023/07/07,1420,4.358,4.358,4.357,4.358,107200,467165.00
2023/07/07,1425,4.357,4.359,4.357,4.359,2570700,11204860.00
2023/07/07,1430,4.359,4.361,4.358,4.360,2354600,10265814.00
2023/07/07,1435,4.360,4.360,4.359,4.360,945100,4120571.00
2023/07/07,1440,4.360,4.360,4.359,4.360,1426800,6220753.00
2023/07/07,1445,4.360,4.360,4.359,4.360,775200,3379774.00
2023/07/07,1450,4.360,4.360,4.359,4.359,1416500,6174670.00
2023/07/07,1455,4.359,4.360,4.357,4.359,1251300,5453782.00
2023/07/07,1500,4.357,4.360,4.357,4.359,1253000,5460667.00
2023/07/10,0935,4.367,4.369,4.365,4.366,1581900,6907925.00
2023/07/10,0940,4.366,4.367,4.366,4.367,1064600,4648943.00
2023/07/10,0945,4.368,4.368,4.367,4.367,277400,1211638.00
2023/07/10,0950,4.368,4.368,4.367,4.368,558300,2438552.00
2023/07/10,0955,4.367,4.368,4.367,4.367,1636300,7146013.00
2023/07/10,1000,4.368,4.368,4.367,4.368,101200,442013.00
2023/07/10,1005,4.368,4.368,4.366,4.367,1749400,7639930.00
2023/07/10,1010,4.367,4.368,4.367,4.368,1027200,4485785.00
2023/07/10,1015,4.367,4.369,4.367,4.368,1689400,7379218.00
2023/07/10,1020,4.368,4.369,4.367,4.367,170200,743405.00
2023/07/10,1025,4.367,4.368,4.367,4.368,646200,2822575.00
